serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
199,Nareshkumar Rameshbhai Patel,9345,Bharatiya National Janta Dal,0,10th Pass,29,0,0,"2,50,000",2 Lacs
200,Natvarbhai Dahyabhai Mahyavanshi,8800,IND,0,Graduate Professional,40,"10,54,000",10 Lacs,0,
201,Nimesh Patel (Kamrol),10345,IND,0,Graduate,33,"26,79,190",26 Lacs,"30,22,000",30 Lacs
202,Oghadbhai Mer,8795,IND,0,10th Pass,45,"21,81,000",21 Lacs,"1,30,000",1 Lacs
203,Padhiyar Bharatkumar Ishvarlal,9297,IND,0,5th Pass,42,"60,100",60 Thou,0,
204,Panchabhai Bhayabhai Damaniya,9298,IND,0,5th Pass,36,"8,70,364",8 Lacs,0,
205,Pandya Pravinkumar Tulsidas,9313,IND,0,10th Pass,42,"39,40,000",39 Lacs,0,
206,Parbatbhai Patel,8483,BJP,0,Graduate Professional,70,"4,18,19,177",4 Crore,"45,00,000",45 Lacs
207,Parbhubhai Nagarbhai Vasava,8510,BJP,0,Others,49,"2,83,50,217",2 Crore,"36,76,869",36 Lacs
208,Paresh Dhanani,8007,INC,0,Graduate,42,"1,43,42,991",1 Crore,0,
209,Pareshkumar Nanubhai Mulani,9373,IND,0,Doctorate,47,0,0,0,
210,Parmar Ashokchandra,9013,IND,0,10th Pass,58,"3,62,19,720",3 Crore,0,
211,Parmar Chhaganchandraraj Dhanabhai,9285,IND,0,10th Pass,52,"45,20,750",45 Lacs,0,
212,Parmar Ghoghjibhai Kanjibhai,8797,NCP,0,Literate,64,"95,97,000",95 Lacs,"15,00,000",15 Lacs
213,Parmar Surajkumar Mahendrakumar,8011,BSP,0,Graduate,34,"9,06,000",9 Lacs,0,
214,Parsani Ibrahimbhai Pirabhai,9287,IND,0,5th Pass,38,"13,66,760",13 Lacs,0,
215,Parthibhai Galbabhai Bhatol,8484,INC,1,10th Pass,75,"4,04,04,078",4 Crore,"21,64,385",21 Lacs
216,Pasvan Virendra,9027,Bharatiya Bahujan Congress,0,10th Pass,49,"8,26,000",8 Lacs,0,
217,Patel Amarish Jasvantlal,9351,Hindusthan Nirman Dal,0,Graduate Professional,65,"6,62,64,748",6 Crore,"6,40,916",6 Lacs
218,Patel Ambalal Talashibhai,9322,IND,0,Graduate Professional,71,"65,00,500",65 Lacs,"71,000",71 Thou
219,Patel Anitaben Ramabhai,9332,IND,0,8th Pass,33,0,0,0,
220,Patel Baldevbhai,8790,IND,0,5th Pass,68,"12,88,000",12 Lacs,"2,50,000",2 Lacs
221,Patel Dharmeshbhai,8577,INC,0,12th Pass,47,"3,18,46,750",3 Crore,"16,59,481",16 Lacs
222,Patel Hasmukhbhai Somabhai,9386,BJP,0,Others,58,"7,46,99,690",7 Crore,"62,52,577",62 Lacs
223,Patel Imran,9021,IND,0,8th Pass,37,"1,00,000",1 Lacs,0,
224,Patel Jayntibhai Shamjibhai,9339,Hindusthan Nirman Dal,0,Graduate,57,"39,82,042",39 Lacs,"21,59,588",21 Lacs
225,Patel Kamleshkumar,8985,Hindusthan Nirman Dal,0,12th Pass,54,"15,49,413",15 Lacs,0,
226,Patel Keshavlal Gangarambhai,9955,IND,0,10th Pass,64,"24,32,500",24 Lacs,0,
