serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
98,Pramod Kumar Sharma,9505,IND,0,12th Pass,60,"1,21,97,539",1 Crore,"56,00,000",56 Lacs
99,Pratima Chandrakar,7798,INC,0,12th Pass,61,0,0,"8,78,370",8 Lacs
100,Pratima Santosh Washnik,7151,Republican Paksha (Khoripa),0,10th Pass,38,"6,000",6 Thou,0,
101,Praveen Tiwari,11143,IND,0,Graduate,40,"6,34,82,500",6 Crore,0,
102,Pravin Jain,8196,IND,0,10th Pass,54,"2,83,17,912",2 Crore,0,
103,Pritesh Pandey,7820,IND,0,Post Graduate,25,"3,83,800",3 Lacs,0,
104,Raj Kumar Gupta,7468,Chhattisgarh Swabhiman Manch,0,Post Graduate,66,"9,67,88,732",9 Crore,"1,48,000",1 Lacs
105,Raj Kumar Yadav,7481,Bhartiya Panchyat Party,0,Post Graduate,67,"1,40,78,261",1 Crore,0,
106,Rajesh Kumar Dubey,8217,Bhartiya Shakti Chetna Party,0,Graduate,49,"93,25,683",93 Lacs,"29,00,000",29 Lacs
107,Rajesh Pandey,7802,Bharat Bhoomi Party,1,8th Pass,43,"18,58,000",18 Lacs,"4,39,000",4 Lacs
108,Raju Khatik,9466,IND,0,10th Pass,50,"60,90,000",60 Lacs,0,
109,Ramdayal Uraon,7482,IND,0,10th Pass,58,0,0,0,
110,Ramdyal Dahariya,9494,IND,0,8th Pass,60,"20,69,118",20 Lacs,0,
111,Ramfal Mandrey,7463,Ambedkarite Party of India,0,Post Graduate,40,"23,97,221",23 Lacs,"10,25,508",10 Lacs
112,Ramkhilawan Dahariya,7152,IND,0,12th Pass,50,"58,20,000",58 Lacs,"14,00,000",14 Lacs
113,Ramkrishna Verma,8201,IND,0,8th Pass,60,"15,000",15 Thou,0,
114,Ramkumar Ghatlahare,9467,Bhartiya Lokmat Rashtrwadi Party,0,8th Pass,46,"1,22,00,000",1 Crore,0,
115,Ramnath Cherwa,9501,Shoshit Samaj Dal,0,8th Pass,48,"25,91,151",25 Lacs,0,
116,Ramu Ram Mourya,7196,CPI,0,Post Graduate,42,"10,58,000",10 Lacs,0,
117,Ravindra Shekhar Bharadwaj,7476,INC,0,Graduate,42,"1,53,16,449",1 Crore,"7,44,582",7 Lacs
118,Ravishankar Sidar,7499,Ambedkarite Party of India,0,10th Pass,29,"4,000",4 Thou,0,
119,Ravita Lakra (Dhruv),7153,BSP,0,Post Graduate,45,0,0,"23,000",23 Thou
120,Renuka Singh Saruta,7510,BJP,0,12th Pass,55,"2,76,82,493",2 Crore,"32,51,275",32 Lacs
121,Rohit Kumar Kosre,7177,Rashtriya Jansabha Party,0,5th Pass,38,"1,58,000",1 Lacs,"1,00,000",1 Lacs
122,Rupesh Sahu,7503,IND,0,10th Pass,38,"2,02,000",2 Lacs,0,
123,Sachchidanand Kaushik,5542,IND,0,12th Pass,33,"5,14,600",5 Lacs,"2,90,000",2 Lacs
124,Salik Ram Jogivansh,7464,IND,0,Post Graduate,52,"10,87,000",10 Lacs,"1,00,000",1 Lacs
125,Sandeep Singh Porte,8222,Adhikar Vikas Party,0,Graduate Professional,28,"27,22,000",27 Lacs,0,
126,Sandeep Tiwari,7465,Bhartiya Sarvjan Hitey Samaj Party,4,Post Graduate,43,"1,36,42,500",1 Crore,"4,50,000",4 Lacs
127,Sanju Kumar Yadav,7816,IND,0,10th Pass,35,"22,131",22 Thou,0,
128,Santosh Banjare,5547,IND,0,12th Pass,40,"5,81,000",5 Lacs,"2,00,000",2 Lacs
129,Santosh Kumar Kaushal,7791,SHS,0,12th Pass,47,0,0,"7,26,958",7 Lacs
130,Santosh Kumar Yadu,7822,SHS,0,12th Pass,29,"14,25,000",14 Lacs,"5,04,000",5 Lacs
131,Santosh Pandey,7155,BJP,0,Graduate Professional,51,"2,48,61,970",2 Crore,"15,19,820",15 Lacs
132,Santosh Sahu,9493,IND,0,Graduate,29,"10,26,580",10 Lacs,"10,45,000",10 Lacs
133,Seema Ajay,7800,Ambedkarite Party of India,0,Post Graduate,25,"9,99,354",9 Lacs,0,
134,Sevakram Banjare,11142,Rashtriya Jansabha Party,0,Graduate Professional,61,"2,27,52,461",2 Crore,"27,00,000",27 Lacs
135,Shailendra Kumar Banjare,7817,Shakti Sena (Bharat Desh),0,Post Graduate,42,"60,98,36,000",60 Crore,"46,75,000",46 Lacs
136,Shambhu Sharma,9469,Bharat Bhoomi Party,0,Graduate Professional,74,"29,70,212",29 Lacs,0,
137,Shankar Lal Vardani,8203,IND,0,Illiterate,54,"3,35,000",3 Lacs,0,
138,Shanti Kumar Ratre,7799,Gondvana Gantantra Party,0,Graduate Professional,39,"44,44,500",44 Lacs,"2,00,000",2 Lacs
139,Siddhram Lahare,9468,Rashtriya Jansabha Party,0,Post Graduate,44,0,0,"25,000",25 Thou
140,Sitabai Chouhan,9483,Bhartiya Shakti Chetna Party,0,Not Given,30,"66,000",66 Thou,0,
141,Sube Singh Dhurva,5114,BSP,0,10th Pass,47,"8,96,500",8 Lacs,0,
142,Sudesh Tikam,7156,IND,3,10th Pass,52,"29,15,682",29 Lacs,"2,52,190",2 Lacs
143,Suman Lal Khande,7484,Rashtriya Jansabha Party,0,5th Pass,42,"6,20,270",6 Lacs,0,
144,Sunil Kumar Markandey,11146,IND,0,Post Graduate,35,"3,92,100",3 Lacs,"69,000",69 Thou
145,Sunil Kumar Soni,7502,BJP,0,Graduate,57,"4,60,68,126",4 Crore,"24,82,214",24 Lacs
146,Suresh Kawasi,7199,SHS,0,5th Pass,38,"1,35,38,941",1 Crore,0,
147,Tameshwar Sahu,7818,Bhartiya Kisan Party,0,5th Pass,28,"34,69,500",34 Lacs,"90,000",90 Thou
148,Tarika Tarangini Uraon,8204,IND,1,12th Pass,39,"30,04,01,663",30 Crore,0,
149,Tarjan Jangde,8200,IND,0,12th Pass,48,0,0,"2,00,000",2 Lacs
150,Tarun Kumar Dadsena,7180,IND,2,Graduate,48,"30,25,013",30 Lacs,"9,72,167",9 Lacs
151,Tejram Sidar,9488,IND,0,10th Pass,50,"9,90,000",9 Lacs,0,
152,Tressa David,8213,India Praja Bandhu Party,0,Graduate,53,"4,30,000",4 Lacs,0,
153,Tuleshwar Markam,8207,Gondvana Gantantra Party,0,Graduate Professional,45,"27,13,663",27 Lacs,0,
154,Uday Das Ratre,9477,IND,0,12th Pass,52,"1,63,00,000",1 Crore,"52,00,000",52 Lacs
155,Umashankar Bhandari,7175,SHS,0,Graduate,36,"1,05,15,000",1 Crore,0,
156,Urmila Tiwari,9471,IND,0,Post Graduate,60,"2,20,000",2 Lacs,0,
157,Uttam Das Gurugosai,8220,BSP,0,12th Pass,47,"98,74,225",98 Lacs,0,
158,Vidya Sahu,9459,IND,0,Literate,49,"1,52,500",1 Lacs,0,
159,Vijay Baghel,7474,BJP,0,Graduate,59,0,0,"87,48,686",87 Lacs
160,Vijay Kumar Kurre,9495,Rashtriya Jansabha Party,0,12th Pass,36,"5,18,400",5 Lacs,"1,60,000",1 Lacs
161,Vijay Lakara,9491,SHS,0,10th Pass,39,"3,38,025",3 Lacs,"3,000",3 Thou
162,Vir Kumar Tigga,9486,Bahujan Mukti Party,0,12th Pass,41,"5,32,300",5 Lacs,0,
163,Vishwanath Singh Porte,7154,Gondvana Gantantra Party,0,12th Pass,49,"54,20,000",54 Lacs,0,
164,Vranda Chouhan,9481,Chhattisgarh Vikas Ganga Rashtriya Party,0,Illiterate,40,"10,20,000",10 Lacs,0,
165,Yaman Banjare,9463,Bhartiya Kisan Party,0,Graduate,26,"2,39,48,167",2 Crore,0,
