serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
133,Khajan Singh,13814,Nationalist Justice Party,0,8th Pass,40,"3,08,000",3 Lacs,0,
134,Khushi Ram,13143,BSP,0,Graduate Professional,68,"2,02,42,482",2 Crore,"5,30,702",5 Lacs
135,Kirpal Kaur,13767,IND,0,12th Pass,34,"8,91,47,280",8 Crore,"25,000",25 Thou
136,Kshmakant Pandey,13182,Hindustan Shakti Sena,0,12th Pass,46,"10,15,205",10 Lacs,"4,75,000",4 Lacs
137,Kuldeep Singh,13590,IND,1,10th Pass,29,"60,000",60 Thou,0,
138,Kuldeep Singh Sahota,13567,IND,0,10th Pass,51,"2,18,030",2 Lacs,0,
139,Kuldip Singh Dhaliwal,13126,AAP,0,10th Pass,58,0,0,"27,89,687",27 Lacs
140,Kulwinder Kaur,13759,Ambedkarite Party of India,0,10th Pass,57,"45,55,000",45 Lacs,"4,96,000",4 Lacs
141,Lachhman Singh,14082,IND,0,8th Pass,62,"50,000",50 Thou,0,
142,Lakhwinder Singh Sidhu,13129,RPI(A),0,10th Pass,58,"1,31,750",1 Lacs,0,
143,Lal Chand,13530,Revolutionary Marxist Party of India,0,10th Pass,49,"4,06,299",4 Lacs,"25,000",25 Thou
144,Lal Chand,13737,IND,0,8th Pass,33,"3,62,982",3 Lacs,"61,250",61 Thou
145,Madan Lal,13598,Republican Party of India (Reformist),0,10th Pass,42,"1,55,000",1 Lacs,0,
146,Maheshinder Singh Grewal,13153,SAD,0,Graduate Professional,69,"4,16,21,765",4 Crore,0,
147,Makhan Singh,13739,IND,0,5th Pass,46,"1,09,55,000",1 Crore,"13,00,000",13 Lacs
148,Malvinder Singh Benipal,13633,JD(U),0,Post Graduate,51,"59,32,02,784",59 Crore,"1,21,18,041",1 Crore
149,Mangalsingh,13531,Democratic Party of India,0,Not Given,41,0,0,0,
150,Manish Kumar,14084,Bhartiya Janraj Party,0,12th Pass,37,"35,463",35 Thou,0,
151,Manish Tewari,13599,INC,0,Graduate Professional,53,"15,46,37,860",15 Crore,0,
152,Manjeet Singh,13749,IND,0,Post Graduate,27,"61,79,640",61 Lacs,"8,87,000",8 Lacs
153,Manjinder Singh,13135,AAP,2,12th Pass,33,"44,11,000",44 Lacs,0,
154,Manjit Kaur,13777,IND,0,Illiterate,53,"7,03,000",7 Lacs,"5,00,000",5 Lacs
155,Manmohan Singh,13761,IND,0,Post Graduate,58,"3,53,66,395",3 Crore,"12,015",12 Thou
156,Manoj Kumar,13168,IND,0,10th Pass,47,"5,14,000",5 Lacs,0,
157,Manwinder Singh,13615,Lok Insaaf Party,0,Post Graduate,44,"76,89,077",76 Lacs,"44,79,598",44 Lacs
158,Mohammad Sadique,13160,INC,0,5th Pass,79,"1,97,93,884",1 Crore,"3,11,043",3 Lacs
159,Mohan Lal,13746,IND,0,10th Pass,37,0,0,0,
160,Mohan Singh,13544,IND,0,10th Pass,29,"15,16,000",15 Lacs,"1,80,000",1 Lacs
161,Mohd. Naseem Ansari,13732,Rashtriya Sahara Party,1,Illiterate,52,"1,67,745",1 Lacs,0,
162,Mohinder Singh,13726,IND,1,Illiterate,59,"32,000",32 Thou,0,
163,Mohinder Singh,14078,IND,0,Illiterate,77,"20,000",20 Thou,0,
164,Mohinder Singh Namdhari,13720,IND,0,Graduate,70,"52,000",52 Thou,0,
165,Mohinderpal Singh Dangarh,13807,Bhartiya Lok Seva Dal,6,12th Pass,39,"1,30,33,873",1 Crore,"2,00,000",2 Lacs
166,Nahar Singh,13836,IND,0,10th Pass,66,"1,11,60,000",1 Crore,"2,15,319",2 Lacs
167,Najeera Begam,13801,Rashtriya Sahara Party,0,12th Pass,40,"53,79,882",53 Lacs,0,
168,Nanak Singh Chauhan,13780,IND,0,8th Pass,64,"15,07,584",15 Lacs,0,
169,Naresh Kumar,13589,Hindustan Shakti Sena,0,5th Pass,64,0,0,0,
170,Narinder Singh,13601,AAP,1,Post Graduate,51,"25,57,12,677",25 Crore,"2,36,67,368",2 Crore
171,Neena Mittal,13183,AAP,0,Graduate,47,"6,50,98,945",6 Crore,"1,78,76,777",1 Crore
172,Neetu,13556,IND,0,Illiterate,35,"3,00,000",3 Lacs,"4,00,000",4 Lacs
173,Om Parkash,13581,Bhartiya Janraj Party,0,10th Pass,42,"61,000",61 Thou,0,
174,Onkar Singh,13535,IND,0,8th Pass,30,"19,30,000",19 Lacs,0,
175,Pala Singh,13841,IND,0,8th Pass,74,"3,50,000",3 Lacs,0,
176,Pappu Kumar,13635,IND,0,Illiterate,51,0,0,0,
177,Paramjeet Singh Ranu,13763,IND,0,Others,52,"1,74,50,707",1 Crore,"28,96,000",28 Lacs
178,Paramjit Kaur,13943,IND,0,Illiterate,42,"2,50,000",2 Lacs,0,
179,Paramjit Kaur Khalra,13133,Punjab Ekta Party,0,Post Graduate,65,0,0,0,
180,Paramjit Singh,13534,IND,0,5th Pass,37,"4,10,000",4 Lacs,0,
181,Paramjit Singh,13559,Samaj Bhalai Morcha,1,8th Pass,42,"21,00,000",21 Lacs,0,
182,Parampreet Singh,13820,IND,1,Graduate,25,"80,000",80 Thou,0,
183,Pardeep Bawa,13812,Samaj Adhikar Kalyan Party,0,8th Pass,46,"8,78,000",8 Lacs,0,
184,Parkash Chand Jassal,13554,RPI(A),0,5th Pass,66,"35,46,815",35 Lacs,0,
185,Parminder Kumar,13754,IND,0,Graduate,41,"51,48,844",51 Lacs,"2,35,000",2 Lacs
186,Parminder Singh,13537,IND,1,12th Pass,38,"27,000",27 Thou,0,
187,Parminder Singh,13582,Bharat Prabhat Party,0,Post Graduate,40,"35,014",35 Thou,0,
188,Parminder Singh Dhindsa,13632,SAD,1,Post Graduate,43,"17,90,35,633",17 Crore,0,
189,Parveen Kumar,13747,IND,0,12th Pass,38,0,0,0,
190,Parwinder Singh,13592,IND,0,Graduate,30,"9,100",9 Thou,0,
191,Parwinder Singh,13813,Democratic Party of India (Ambedkar),0,12th Pass,32,"9,85,050",9 Lacs,0,
192,Peter Masih,13122,AAP,0,12th Pass,37,"27,68,778",27 Lacs,"7,77,377",7 Lacs
193,Prem Singh,13600,SAD,1,Post Graduate,69,"12,69,71,695",12 Crore,0,
194,Prem Singh Mohanpur,13610,IND,0,Graduate,62,"1,04,64,371",1 Crore,"4,42,892",4 Lacs
195,Preneet Kaur,13184,INC,0,Graduate,74,"63,59,73,757",63 Crore,"4,24,53,369",4 Crore
196,Pritam Singh Bhatti,13533,Janral Samaj Party,0,10th Pass,63,"27,71,500",27 Lacs,"7,36,098",7 Lacs
197,Prof. Baljinder Kaur,13174,AAP,0,Post Graduate,33,"1,06,04,926",1 Crore,"3,45,000",3 Lacs
198,Prof. Lakhbir Singh,13775,IND,0,Doctorate,50,"1,77,06,400",1 Crore,"6,30,818",6 Lacs
199,Prof. Sadhu Singh,13580,AAP,0,Post Graduate,78,0,0,"35,00,000",35 Lacs
200,Prof. Tej Pal Singh Gill,13154,AAP,0,Doctorate,32,"19,02,817",19 Lacs,0,
201,Puran Singh,13539,Bahujan Samaj Party (Ambedkar),0,Illiterate,64,"6,48,520",6 Lacs,"48,560",48 Thou
202,Raghunath Singh,13147,CPI(M),0,Graduate,65,"27,69,000",27 Lacs,0,
203,Raj Kumar,13142,INC,0,Post Graduate,49,"14,65,89,292",14 Crore,"6,32,99,925",6 Crore
204,Raj Kumar,13798,IND,0,5th Pass,43,"3,23,000",3 Lacs,0,
205,Rajesh Kumar,13808,IND,0,Post Graduate,39,"55,55,006",55 Lacs,"7,50,000",7 Lacs
206,Rajinder Kaur Safri,13576,Rashtriya Janshakti Party (Secular),0,8th Pass,36,"4,70,000",4 Lacs,0,
207,Rajinder Kumar,13733,Hindu Samaj Party,0,Graduate,39,"17,77,661",17 Lacs,0,
208,Rajvir Kaur,13805,Hindustan Shakti Sena,1,Post Graduate,32,"6,00,000",6 Lacs,0,
209,Rakesh Kumar,13760,IND,0,10th Pass,35,0,0,0,
210,Ram Singh Deapak,13728,Bahujan Mukti Party,0,10th Pass,77,"17,61,570",17 Lacs,0,
211,Ram Singh Raisal,13572,Ambedkarite Party of India,0,Post Graduate,57,"63,41,000",63 Lacs,"10,00,000",10 Lacs
212,Ramesh Lal,13550,Bahujan Mukti Party,0,8th Pass,51,"36,14,463",36 Lacs,"1,10,300",1 Lacs
213,Randhir Singh Khangura,13736,IND,0,10th Pass,49,"19,60,500",19 Lacs,"2,56,646",2 Lacs
214,Ranveer Singh Rana,13771,IND,0,8th Pass,39,"2,50,000",2 Lacs,"1,50,000",1 Lacs
215,Ravinder Pal Singh,13564,IND,1,8th Pass,30,"1,70,000",1 Lacs,0,
216,Ravjot Singh,13144,AAP,1,Graduate Professional,Unknown,"3,27,29,653",3 Crore,"61,60,003",61 Lacs
217,Ravneet Singh Bittu,13150,INC,3,12th Pass,43,"5,42,81,096",5 Crore,"33,31,266",33 Lacs
218,Rishabh Sharma,13735,IND,0,Graduate Professional,25,"16,86,400",16 Lacs,0,
219,Rtd. Subedar Major Jagdev Singh Raipur,13827,Bhartiya Lok Seva Dal,0,12th Pass,50,0,0,0,
220,Sandeep Kumar,13773,IND,0,Graduate,44,"40,66,763",40 Lacs,"14,12,433",14 Lacs
221,Sandeep Singh,13654,IND,0,10th Pass,26,"1,76,000",1 Lacs,0,
222,Sanjeev Kumar,13724,IND,0,10th Pass,44,"46,41,000",46 Lacs,"8,00,000",8 Lacs
223,Santokh Singh,13815,Hindustan Shakti Sena,3,10th Pass,44,"58,71,000",58 Lacs,0,
224,Santokh Singh Chaudhary,13136,INC,0,Graduate Professional,72,"9,99,25,185",9 Crore,"25,34,363",25 Lacs
225,Sarabjit Singh,13649,IND,0,12th Pass,44,"27,86,000",27 Lacs,0,
226,Satnam Singh,13655,Democratic Party of India (Ambedkar),1,10th Pass,30,"48,000",48 Thou,0,
227,Satnam Singh S/O Balwant Singh,13838,IND,0,10th Pass,60,"7,45,568",7 Lacs,0,
228,Satnam Singh S/O Gurdeep Singh,13837,IND,0,5th Pass,29,"45,000",45 Thou,"40,000",40 Thou
229,Sham Lal Gandhiwadi,13723,IND,0,Illiterate,36,0,0,0,
230,Shamsher Singh,13714,IND,0,10th Pass,45,"21,42,910",21 Lacs,0,
231,Shankar Lal,13748,IND,0,5th Pass,50,"21,87,000",21 Lacs,"5,00,000",5 Lacs
232,Sher Singh Ghubaya,13594,INC,0,10th Pass,56,"8,58,22,451",8 Crore,"1,13,50,390",1 Crore
233,Shubham Kumar,13719,IND,0,10th Pass,25,"16,000",16 Thou,0,
234,Simarjeet Singh,13811,Lok Insaaf Party,8,Graduate,48,"12,34,12,923",12 Crore,"1,24,43,000",1 Crore
235,Simranjit Singh Mann,13180,SAD (Amritsar)(Simranjit Singh Mann),0,Graduate,74,"17,09,71,628",17 Crore,"50,00,000",50 Lacs
236,Sodhi Vikram Singh,13149,BSP,0,Graduate,62,"1,40,82,65,156",140 Crore,"34,00,824",34 Lacs
237,Som Parkash,13145,BJP,0,Post Graduate,70,"2,94,04,519",2 Crore,0,
238,Stephen Bhatti,13536,SHS,0,12th Pass,36,"1,23,000",1 Lacs,"15,000",15 Thou
239,Subhash Goria,13141,SHS,0,10th Pass,45,0,0,"8,57,400",8 Lacs
240,Sukhbir Singh Badal,13164,SAD,4,Post Graduate,56,"2,17,99,19,870",217 Crore,"95,48,52,600",95 Crore
241,Sukhchain Singh Bhargav,13825,Hindustan Shakti Sena,0,Literate,40,"16,96,334",16 Lacs,0,
242,Sukhdev Singh,13163,Hindustan Shakti Sena,1,8th Pass,46,"13,72,000",13 Lacs,0,
243,Sukhdev Singh,13549,IND,0,10th Pass,53,"3,95,000",3 Lacs,0,
244,Sukhjit Singh,13593,Bhartiya Lok Seva Dal,0,10th Pass,39,"7,61,000",7 Lacs,0,
245,Sukhpal Singh Khaira,13175,Punjab Ekta Party,1,12th Pass,54,"59,87,46,355",59 Crore,"1,38,36,396",1 Crore
246,Sukhwant Singh,13540,IND,0,10th Pass,57,"16,96,000",16 Lacs,0,
247,Sukhwinder Singh,13797,IND,0,Graduate,46,"11,40,000",11 Lacs,0,
248,Sukrit Sharda,13818,IND,0,Graduate,Unknown,"33,33,000",33 Lacs,0,
249,Suman Singh,13717,IND,0,Illiterate,37,0,0,0,
250,Sunaina,13757,IND,0,Graduate,31,"11,50,000",11 Lacs,0,
251,Sunil Kumar Bhatti,13648,IND,0,8th Pass,44,"3,31,000",3 Lacs,0,
252,Sunil Kumar Jakhar,13123,INC,0,Post Graduate,65,"25,17,62,701",25 Crore,0,
253,Sunil Kumar Mattu,14077,IND,0,10th Pass,32,"25,000",25 Thou,0,
254,Sunny Bawa,13597,Akhil Bhartiya Apna Dal,0,10th Pass,30,"22,000",22 Thou,0,
255,Surinder Kaur Mangat,13148,Rashtriya Janshakti Party (Secular),0,Others,72,"1,69,63,471",1 Crore,0,
256,Surjeet Singh,13831,IND,0,5th Pass,58,"7,49,400",7 Lacs,0,
257,Surjit Singh,13542,IND,1,12th Pass,40,"85,93,000",85 Lacs,"20,32,483",20 Lacs
258,Surjit Singh,13651,IND,0,5th Pass,62,"10,26,000",10 Lacs,0,
259,Surjit Singh,13839,IND,0,Literate,46,0,0,0,
260,Surjit Singh Kang,13614,Bhartiya Lok Seva Dal,0,10th Pass,47,"2,13,500",2 Lacs,0,
261,Surjit Singh Rakhra,13186,SAD,1,Graduate,68,"18,43,75,011",18 Crore,"67,09,821",67 Lacs
262,Sushil Kumar,13595,IND,0,12th Pass,39,"71,71,200",71 Lacs,"3,00,000",3 Lacs
263,Swami Nitya Anand,13553,IND,0,Graduate,68,"50,20,000",50 Lacs,0,
264,Swarn Singh Dhaliwal,13171,SUCI(C),0,Post Graduate,34,"28,34,139",28 Lacs,"4,42,600",4 Lacs
265,Tara Singh,13140,Bahujan Samaj Party (Ambedkar),0,5th Pass,52,"16,64,777",16 Lacs,0,
266,Teja Singh,13835,IND,0,10th Pass,37,"11,78,000",11 Lacs,0,
267,Tilak Raj,13146,IND,0,8th Pass,57,"2,33,28,210",2 Crore,"2,69,823",2 Lacs
268,Tulsi Singh,13800,IND,0,Illiterate,60,"25,86,844",25 Lacs,0,
269,Upkar Singh Bakhshi,13555,IND,0,Post Graduate,76,0,0,0,
270,Urmila,13139,Ambedkar National Congress,0,8th Pass,52,295,2 Hund,0,
271,Veerpal Kaur,13579,Samaj Adhikar Kalyan Party,0,Graduate Professional,29,"17,00,200",17 Lacs,"75,000",75 Thou
272,Veerpal Kaur,13776,IND,0,8th Pass,40,"2,81,700",2 Lacs,"5,90,000",5 Lacs
273,Vijay Aggarwal,13176,Bhartiya Shakti Chetna Party,0,Graduate Professional,47,"69,81,160",69 Lacs,0,
274,Vikram Singh,13755,IND,0,Graduate,33,"2,05,000",2 Lacs,0,
275,Vinod Kumar,13570,Bharat Prabhat Party,0,Graduate Professional,25,"22,98,000",22 Lacs,0,
276,Yash Paul,13822,Bahujan Mukti Party,0,12th Pass,30,"5,13,185",5 Lacs,0,
