serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
497,Patil Yashashri Pramod,6519,IND,0,12th Pass,27,"10,05,000",10 Lacs,"3,04,000",3 Lacs
498,Patle Rajendra Sahasram,5181,IND,2,Others,56,"3,25,13,000",3 Crore,"75,00,000",75 Lacs
499,Patrakar P Sattar Khan Kasim Kha,7641,IND,0,12th Pass,54,0,0,0,
500,Pavan Chandrakant Pawar,9824,Vanchit Bahujan Aaghadi,8,Others,38,"90,91,869",90 Lacs,0,
501,Pawan Kumar Pandey,9876,Sarvodaya Bharat Party,1,Doctorate,44,"5,55,43,198",5 Crore,"11,96,000",11 Lacs
502,Pawar Ramesh Gorsing,4598,IND,0,12th Pass,64,"40,000",40 Thou,"1,00,000",1 Lacs
503,Phulsure Vishwanth Sadashiv,5190,Kranti Kari Jai Hind Sena,0,Graduate,67,"60,30,156",60 Lacs,0,
504,Pinjari Jainuddin Husain,9809,Bahujan Maha Party,1,10th Pass,38,"7,78,020",7 Lacs,"3,80,000",3 Lacs
505,Pokharkar Vinod Laxman,10695,IND,1,10th Pass,35,"2,55,000",2 Lacs,0,
506,Poonam Vajendla Rao,9964,BJP,2,Others,38,"2,22,42,513",2 Crore,0,
507,Prabhakar Anant Jadhav,9857,Bahujan Republican Socialist Party,0,10th Pass,63,"98,88,423",98 Lacs,0,
508,Prabhakar Krushnaji Satpaise,4888,IND,0,12th Pass,43,"21,79,000",21 Lacs,"3,00,000",3 Lacs
509,Prabhakar Tarapado Sadhu,11022,IND,0,8th Pass,47,0,0,0,
510,Pradip Sunil Sarode,11133,IND,9,12th Pass,32,"1,13,801",1 Lacs,0,
511,Prafulla Manikchand Bhange,6994,IND,0,12th Pass,49,"72,20,000",72 Lacs,"12,00,000",12 Lacs
512,Prakash Bhivaji Mahadik,10001,Bhartiya Navjawan Sena (Paksha),0,8th Pass,70,"75,000",75 Thou,0,
513,Prakash Giridhar Kanoje,10115,IND,0,12th Pass,51,"9,80,202",9 Lacs,"2,00,000",2 Lacs
514,Prakash Kacharu Aaher,10022,Bahujan Republican Socialist Party,1,Post Graduate,55,"72,58,501",72 Lacs,"85,000",85 Thou
515,Prakash Sakharam Kalke,8757,Bhartiya Kisan Party,0,Post Graduate,34,"37,85,816",37 Lacs,0,
516,Prakash Vitthalrao Ghunnar,6553,IND,0,Others,60,"1,03,97,000",1 Crore,"3,00,000",3 Lacs
517,Pramod Baburao Kharat,8726,Bahujan Republican Socialist Party,0,8th Pass,49,"30,000",30 Thou,0,
518,Pramod Laxman Meshram,6425,IND,0,Post Graduate,43,"31,70,000",31 Lacs,"17,00,000",17 Lacs
519,Prashant Ganpat Deshmukh,10968,IND,0,Graduate,34,0,0,0,
520,Pratap Pandharinath Patil,6544,Bahujan Mukti Party,0,8th Pass,50,"49,96,000",49 Lacs,0,
521,Prataprao Ganpatrao Jadhav,5175,SHS,3,12th Pass,58,"11,62,72,966",11 Crore,"7,35,482",7 Lacs
522,Pravin Chandrakant Kaurpuriya,5002,IND,0,Graduate Professional,44,"5,40,000",5 Lacs,0,
523,Pravin Chandrakant Kedare,11008,IND,1,12th Pass,48,"10,08,627",10 Lacs,0,
524,Pravin Govind Pawar,5755,Vanchit Bahujan Aaghadi,0,Graduate Professional,37,"4,68,66,958",4 Crore,"6,58,47,040",6 Crore
525,Pravin Mahadeo Sarode,6431,IND,0,12th Pass,31,"15,000",15 Thou,0,
526,Premasai Maharaj,7241,IND,6,5th Pass,28,"49,00,000",49 Lacs,0,
527,Pritam Gopinathrao Munde,6527,BJP,1,Post Graduate,36,"16,74,77,926",16 Crore,"9,88,33,794",9 Crore
528,Priyanka Ramrao Shirole,11111,IND,0,Graduate,28,0,0,0,
529,Prof. Dr. Ohal Arjun Gena,6603,Bahujan Mukti Party,0,Doctorate,52,0,0,"24,21,000",24 Lacs
530,Prof. Nalawade Hanmant Mahadeo,8750,Ambedkarite Party of India,0,Post Graduate,49,"47,00,000",47 Lacs,"31,00,000",31 Lacs
531,Pundlik Baliram Rathod,5762,Sanman Rajkiya Paksha,0,12th Pass,47,"1,41,13,000",1 Crore,"7,50,000",7 Lacs
532,Purushottam Domaji Bhajghaware,4925,Rashtriya Bahujan Congress Party,0,12th Pass,58,"52,000",52 Thou,0,
533,Raeesa Shakil Shaikh,10017,Bhartiya Kisan Party,0,Post Graduate,45,"51,90,000",51 Lacs,"36,50,000",36 Lacs
534,Rahul Narayan Bansode,8717,BSP,0,10th Pass,46,"75,000",75 Thou,0,
535,Rahul Ramesh Shewale,9974,SHS,0,Others,47,"1,88,81,363",1 Crore,"77,78,954",77 Lacs
536,Rahul Vishwas Joshi,10771,IND,0,Graduate,42,"1,16,80,000",1 Crore,"23,00,000",23 Lacs
537,Rahulbhau Laxmanrao Mohod,5006,IND,1,8th Pass,44,"27,00,000",27 Lacs,"2,25,500",2 Lacs
538,Rajan Baburao Vichare,9859,Shiv Sena (Uddhav Balasaheb Thackeray),9,12th Pass,57,"18,14,41,465",18 Crore,"5,40,80,733",5 Crore
539,Rajan Ramchandra Kshirsagar,6589,CPI,15,Graduate,52,0,0,"9,90,000",9 Lacs
540,Rajaram Narayan Patil,10002,Vanchit Bahujan Aaghadi,0,Others,47,"65,25,572",65 Lacs,"5,34,788",5 Lacs
541,Rajendra Balaso Koli (Galatage),10837,IND,0,5th Pass,55,"1,14,000",1 Lacs,0,
542,Rajendra Krishnarao Hajare,5811,IND,0,Graduate,54,0,0,0,
543,Rajendra Maruti Kate,10969,IND,0,12th Pass,50,"64,35,000",64 Lacs,0,
544,Rajendra Namdev Kavthekar,8768,Bahujan Mukti Party,0,Graduate Professional,43,"1,49,00,000",1 Crore,"49,00,000",49 Lacs
545,Rajendra Shriramji Mahadole,4918,Vanchit Bahujan Aaghadi,2,Graduate Professional,48,"1,97,03,000",1 Crore,"69,78,054",69 Lacs
546,Rajesh .B. Dayal,11029,IND,0,12th Pass,42,"5,000",5 Thou,0,
547,Rajesh Bhauraoji Raut,5753,Gondvana Gantantra Party,0,10th Pass,41,"2,10,000",2 Lacs,"40,000",40 Thou
548,Rajesh Bhavsar,10986,Bhartiya Manavadhikaar Federal Party,5,12th Pass,52,"69,417",69 Thou,0,
549,Rajesh Dilipkumar Jadhav,8762,Bahujan Republican Socialist Party,0,Graduate,33,0,0,0,
550,Rajesh Marotrao Balpande,4883,IND,0,Graduate Professional,43,"80,19,000",80 Lacs,0,
551,Rajesh Sidhanna Kamble,9867,Bahujan Mukti Party,0,Graduate,40,"30,000",30 Thou,0,
552,Rajesh Surendrakumar Agarwal,10760,Hamari Apni Party,1,Graduate Professional,48,"4,21,51,794",4 Crore,"28,51,036",28 Lacs
553,Rajesh Uttamrao Vitekar,6591,NCP,0,Graduate,39,"5,26,28,119",5 Crore,"46,78,811",46 Lacs
554,Rajeshchanna Baijnath Jaiswar,9865,BSP,0,10th Pass,48,"40,88,000",40 Lacs,"21,08,675",21 Lacs
555,Rajeshkumar Annasaheb Bhadgale,6533,IND,0,12th Pass,39,"67,000",67 Thou,0,
556,Raju Ashok Gawali,10844,IND,0,12th Pass,30,"7,56,334",7 Lacs,0,
557,Raju Bakshi Jamnekar,6399,IND,0,Post Graduate,46,"5,18,000",5 Lacs,"1,00,000",1 Lacs
558,Raju Damu Lade,11123,IND,0,8th Pass,39,"19,67,312",19 Lacs,0,
559,Raju Mujikrao Shetty,10857,Bahujan Maha Party,0,10th Pass,67,0,0,0,
560,Raju Shamraoji Mankar,6424,IND,0,5th Pass,52,"2,12,100",2 Lacs,0,
561,Rakesh Prabhakar Chavan,10770,IND,0,8th Pass,45,"2,06,08,100",2 Crore,"6,00,000",6 Lacs
562,Rakesh Prabhakar Chavan,10970,IND,0,8th Pass,45,"2,18,58,100",2 Crore,"6,00,000",6 Lacs
563,Rakesh Sambhaji Raul,11010,IND,0,Graduate Professional,45,"2,862",2 Thou,0,
564,Ramchandra Kachave,9985,Kranti Kari Jai Hind Sena,1,Graduate Professional,50,"32,60,000",32 Lacs,0,
565,Ramchandra Mayyappa Ghutukade,8744,Bahujan Republican Socialist Party,0,Graduate Professional,27,"2,39,250",2 Lacs,0,
566,Ramdas Chandrabhanji Tadas,4885,BJP,0,10th Pass,65,"6,58,07,822",6 Crore,"89,61,387",89 Lacs
567,Ramdas Mane,10807,IND,0,10th Pass,58,"8,23,28,104",8 Crore,"20,00,000",20 Lacs
568,Ramesh Kumar Shrivastav,10692,IND,0,5th Pass,63,"60,15,000",60 Lacs,0,
569,Ramesh Nivrati Kambale,5475,IND,0,5th Pass,48,0,0,0,
570,Ramesh Ramkisan Gavhane,8612,Dalit Soshit Pichhara Varg Adhikar Dal,0,12th Pass,25,"2,01,000",2 Lacs,0,
571,Rameshkumar Baburaoji Gajbe,4930,Vanchit Bahujan Aaghadi,0,Post Graduate,66,"1,07,09,012",1 Crore,"6,00,000",6 Lacs
572,Ramnath Gahininath Golhar,10886,IND,0,12th Pass,54,"6,60,85,000",6 Crore,"2,80,00,000",2 Crore
573,Ramrao Garkar,6568,Vanchit Bahujan Aaghadi,0,Post Graduate,59,"1,43,23,873",1 Crore,"5,40,000",5 Lacs
574,Ramrao Sawai Pawar,5746,IND,0,10th Pass,47,"48,10,000",48 Lacs,"2,75,000",2 Lacs
575,Ranajagjitsinha Padmasinh Patil,5189,NCP,4,Graduate Professional,47,"41,20,22,397",41 Crore,"10,13,27,317",10 Crore
576,Ranjeetsinha Hindurao Naik Nimbalkar,7769,BJP,2,12th Pass,42,"1,27,51,60,578",127 Crore,"89,63,15,287",89 Crore
577,Ranjit Bajrangi Tiwari,10978,Naitik Party,0,5th Pass,43,"11,72,000",11 Lacs,0,
578,Ranjit Gangadharrao Deshmukh,7649,IND,0,Graduate,32,"3,50,000",3 Lacs,0,
579,Ratan Aasaram Landge,10843,IND,0,Illiterate,39,0,0,0,
580,Ravi Sampatrao Jadhao,5761,Bahujan Mukti Party,0,Graduate Professional,73,"53,90,000",53 Lacs,0,
581,Ravindra Abhimanyu Kene,9846,BSP,1,10th Pass,35,"89,99,137",89 Lacs,"9,05,000",9 Lacs
582,Ravindra Bansiram Mahapure,10769,IND,0,Literate,52,0,0,0,
583,Ravindra Bhanudas Kale,10877,IND,0,10th Pass,39,"9,17,481",9 Lacs,0,
584,Rekha Suresh Desai,9800,BSP,0,12th Pass,29,"7,41,000",7 Lacs,0,
585,Rohit More,10808,IND,0,Graduate Professional,37,"44,31,500",44 Lacs,"36,00,000",36 Lacs
586,Roshan Aara Sadique Ali,10688,IUML,0,12th Pass,37,"16,26,675",16 Lacs,"9,58,112",9 Lacs
587,Ruben Domnik Francis,4891,IND,0,12th Pass,44,"1,00,000",1 Lacs,"1,00,000",1 Lacs
588,Rupesh Shamrao Shanke,6574,Swatantra Bharat Paksha,0,12th Pass,26,"2,60,000",2 Lacs,"18,000",18 Thou
589,Sachin Dnyaneshwar Padalkar,10813,IND,0,8th Pass,30,0,0,0,
590,Sachin Ganpatlal Sharma,5441,IND,0,10th Pass,39,"3,14,10,000",3 Crore,"23,55,000",23 Lacs
