serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
200,Stephan Besra,13944,BSP,0,10th Pass,40,"37,11,000",37 Lacs,"8,00,000",8 Lacs
201,Subhash Prasad Yadav,10249,RJD,3,Graduate,52,"5,32,88,310",5 Crore,"52,08,407",52 Lacs
202,Subodh Kant Sahay,11377,INC,1,Graduate,67,"7,35,66,185",7 Crore,"1,18,73,779",1 Crore
203,Subrat Kumar Pradhan,12905,Ambedkarite Party of India,0,Graduate Professional,53,"3,25,043",3 Lacs,0,
204,Sudarshan Bhagat,10265,BJP,0,Graduate,52,"1,29,47,303",1 Crore,"5,25,000",5 Lacs
205,Sudhir Kumar Mahato,13518,Bahujan Mukti Party,0,Graduate Professional,53,"1,46,49,361",1 Crore,"3,90,000",3 Lacs
206,Sukhdeo Bhagat,10266,INC,1,Post Graduate,57,"2,10,94,142",2 Crore,"39,35,029",39 Lacs
207,Sukhram Herenj,12583,IND,0,Graduate,65,"1,25,500",1 Lacs,0,
208,Sunil Kumar Singh,10250,BJP,0,Post Graduate,55,"22,62,09,137",22 Crore,"18,89,051",18 Lacs
209,Sunil Soren,13003,BJP,0,12th Pass,39,0,0,"6,85,516",6 Lacs
210,Sunita Munda,11985,Ambedkarite Party of India,0,Post Graduate,28,"2,65,000",2 Lacs,"20,000",20 Thou
211,Sunita Tudu,12888,IND,0,Graduate Professional,32,"1,66,88,140",1 Crore,"11,00,000",11 Lacs
212,Surya Singh Besra,12911,Jharkhand Peoples Party,1,Post Graduate,57,"1,20,36,532",1 Crore,"12,00,000",12 Lacs
213,Sushma Mehta,10301,CPI(ML)(L),3,12th Pass,40,"35,45,751",35 Lacs,"4,12,090",4 Lacs
214,Tekochand Mahto,11959,IND,0,Graduate Professional,28,"26,08,338",26 Lacs,"50,000",50 Thou
215,Thakuroon Soren,13946,IND,1,5th Pass,37,"59,115",59 Thou,0,
216,Tuklal Nayak,11370,Hindusthan Nirman Dal,0,Post Graduate,58,"24,97,500",24 Lacs,0,
217,Uday Kumar Paswan,10302,Jan Sangharsh Virat Party,0,10th Pass,Unknown,"4,77,000",4 Lacs,0,
218,Umesh Kumar Paswan,10303,Voters Party International,0,10th Pass,34,"10,00,000",10 Lacs,"50,000",50 Thou
219,Umesh Paswan,12900,IND,0,Literate,55,0,0,"20,000",20 Thou
220,Varun Kumar,12899,IND,0,Graduate,29,"92,800",92 Thou,"19,500",19 Thou
221,Vijay Kumar,10304,IND,0,12th Pass,28,"21,16,596",21 Lacs,0,
222,Vijay Kumar Hansdak,12723,JMM,0,10th Pass,36,"1,29,19,555",1 Crore,"27,43,560",27 Lacs
223,Vijay Ram,10305,IND,0,8th Pass,36,"1,31,000",1 Lacs,0,
224,Vikas Chandra Sharma,11679,CPI(ML) Red Star,0,Post Graduate,40,"1,12,000",1 Lacs,0,
225,Vinod Kumar,11354,BSP,0,Graduate,62,"2,76,95,641",2 Crore,0,
226,Vishnu Dayal Ram,10306,BJP,0,Graduate,68,"3,22,73,873",3 Crore,"90,922",90 Thou
227,Yogendra Yadav,10251,IND,0,Graduate Professional,26,"19,05,000",19 Lacs,0,
228,Zaffar Obaid,12997,BSP,0,Doctorate,46,"8,73,613",8 Lacs,0,
