serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
627,Samantha.K.S,8126,IND,0,Others,36,"3,01,197",3 Lacs,"2,70,000",2 Lacs
628,Sambathkumar A,8140,IND,0,Graduate Professional,39,"21,000",21 Thou,0,
629,Samidurai E,5313,IND,0,10th Pass,63,0,0,0,
630,Saminathan P.P,7537,IND,0,12th Pass,54,"3,66,80,249",3 Crore,"35,31,974",35 Lacs
631,Sampath R,8139,IND,0,Graduate,57,"10,42,100",10 Lacs,"1,18,000",1 Lacs
632,Sampath Ramadoss,8122,Makkal Needhi Maiam,0,Post Graduate,53,"94,00,851",94 Lacs,"13,75,452",13 Lacs
633,Sampaul,6463,IND,0,Post Graduate,28,"54,500",54 Thou,0,
634,Samuel Paul P,6454,IND,0,Post Graduate,29,"3,50,808",3 Lacs,0,
635,"Sankaralingam, M.",8038,IND,0,8th Pass,37,"2,30,000",2 Lacs,0,
636,"Sankaranarayanan, N.",8060,IND,0,Others,34,"96,540",96 Thou,0,
637,Santhakumar N,5360,IND,1,10th Pass,40,"13,67,579",13 Lacs,0,
638,Sanuja U,8453,Naam Tamilar Katchi,0,Others,35,"5,84,781",5 Lacs,0,
639,Saraswathi K,8889,Indian New Congress Party,1,Illiterate,57,0,0,0,
640,Saravanakumar A,6513,Makkal Needhi Maiam,0,Others,43,"1,19,19,500",1 Crore,"32,57,200",32 Lacs
641,Saravanan M,8132,AIADMK,0,Post Graduate,41,"1,84,92,618",1 Crore,"14,29,090",14 Lacs
642,"Saravanan, G.",8033,IND,0,8th Pass,43,"1,71,960",1 Lacs,0,
643,Saravanan.K,8094,BSP,0,8th Pass,37,"10,40,000",10 Lacs,"1,00,000",1 Lacs
644,Saravanan.K.R.S,7566,AIADMK,0,Graduate Professional,44,"1,50,55,729",1 Crore,0,
645,Saravanan.S,8572,IND,0,10th Pass,45,"8,05,528",8 Lacs,"1,55,500",1 Lacs
646,Saravanavel R,7544,IND,0,Graduate Professional,53,"4,21,74,000",4 Crore,"36,00,000",36 Lacs
647,Sarubala. R. Thondaiman,8413,IND,0,Post Graduate,60,"92,38,76,327",92 Crore,"9,11,82,000",9 Crore
648,Sasikumar,6467,Tamil Nadu Ilangyar Katchi,2,Others,36,"18,81,716",18 Lacs,"2,88,000",2 Lacs
649,Sasikumar A,6448,IND,0,Others,42,0,0,0,
650,Sathees Kumar R,7592,IND,0,12th Pass,40,"67,45,000",67 Lacs,"1,50,000",1 Lacs
651,Sathish Kumar G,7606,IND,0,Graduate,30,"31,41,000",31 Lacs,"15,50,000",15 Lacs
652,Sathishkumar S,8888,IND,0,Graduate Professional,28,"50,000",50 Thou,0,
653,Sathya B,5354,Naam Tamilar Katchi,0,Graduate,41,"48,16,687",48 Lacs,"2,79,000",2 Lacs
654,Seethalakshmi M K,6501,Naam Tamilar Katchi,2,Post Graduate,43,"1,08,95,377",1 Crore,0,
655,Sekar.D,5225,BSP,0,Graduate Professional,37,"14,35,000",14 Lacs,0,
656,Selladurai S,7540,IND,0,8th Pass,38,"3,47,000",3 Lacs,0,
657,Selva Prakash R,4772,IND,0,Graduate,51,"2,45,58,648",2 Crore,0,
658,Selvaganesan R,7926,United States of India Party,0,Post Graduate,44,"83,76,260",83 Lacs,0,
659,"Selvakumar, M.",8064,IND,0,5th Pass,30,0,0,0,
660,Selvakumar. M,8916,IND,0,Post Graduate,50,"4,40,214",4 Lacs,"24,000",24 Thou
661,"Selvam, S.R.",7518,IND,0,8th Pass,65,"6,15,58,069",6 Crore,"1,55,37,415",1 Crore
662,Selvam.G,5223,DMK,0,Post Graduate,44,"4,81,72,936",4 Crore,0,
663,Selvam.S.K,7581,IND,3,10th Pass,57,"97,48,974",97 Lacs,"1,00,000",1 Lacs
664,Selvaraj K,8891,IND,0,Graduate,44,"1,75,000",1 Lacs,0,
665,Selvaraj K.R,7552,IND,0,10th Pass,63,"1,48,99,953",1 Crore,0,
666,Selvaraj M,8133,CPI,0,12th Pass,63,"45,72,837",45 Lacs,"12,51,381",12 Lacs
667,Selvaraj.R,8127,IND,0,Post Graduate,63,"88,74,369",88 Lacs,"7,76,000",7 Lacs
668,"Selvin, B.",8034,IND,0,8th Pass,41,"5,13,000",5 Lacs,0,
669,"Senai Natarajan, R.",8030,IND,0,12th Pass,46,0,0,"5,45,976",5 Lacs
670,Sengodi T,8142,IND,2,Graduate,36,"7,93,540",7 Lacs,0,
671,Senjeraja K.N.K,8542,IND,1,12th Pass,43,"33,750",33 Thou,0,
672,Senthamilselvi.R,8108,IND,0,Post Graduate,59,"63,20,000",63 Lacs,"5,00,000",5 Lacs
673,Senthamizhan G,8543,IND,0,Post Graduate,55,"2,20,06,894",2 Crore,"1,13,28,495",1 Crore
674,Senthamizhan. S,8187,IND,2,12th Pass,39,"62,70,000",62 Lacs,0,
675,Senthil Kumar.C,8109,IND,0,8th Pass,42,"47,000",47 Thou,0,
676,Senthilkumar J,8937,IND,0,12th Pass,50,"1,81,505",1 Lacs,0,
677,Senthilkumar K C,6515,IND,0,Graduate,41,"2,75,00,000",2 Crore,"79,00,000",79 Lacs
678,"Senthilkumar, S.",8063,IND,0,8th Pass,32,0,0,0,
679,Senthilmurugan S,7547,Desiya Makkal Sakthi Katchi,0,10th Pass,50,0,0,0,
680,"Senthilvel, A.",8288,Ulzaipali Makkal Katchy,0,10th Pass,44,"15,000",15 Thou,0,
681,Shadhik Batcha. A,4754,IND,0,Post Graduate,48,"59,20,000",59 Lacs,"35,68,000",35 Lacs
682,Shagul Hameed,5331,Naam Tamilar Katchi,0,Graduate,59,"1,89,57,000",1 Crore,0,
683,Shaji V,5850,Makkal Needhi Maiam,0,8th Pass,41,"4,46,42,380",4 Crore,"2,05,65,404",2 Crore
684,Shanmugam. M,8183,IND,0,8th Pass,50,"1,60,000",1 Lacs,0,
685,"Shanmugaprabu, K",8434,IND,0,Post Graduate,35,"1,59,599",1 Lacs,0,
686,Shanmugasundaram K N,8456,IND,0,5th Pass,60,"27,61,271",27 Lacs,0,
687,Shanmugasundaram V,8457,IND,0,8th Pass,41,"19,26,957",19 Lacs,0,
688,Shanmugham V,8079,IND,0,12th Pass,74,"50,000",50 Thou,0,
689,Shanthi K,5305,Naam Tamilar Katchi,0,Post Graduate,36,0,0,0,
690,Sheik Mohamed K,6460,SDPI,3,Others,48,"22,74,313",22 Lacs,0,
691,Shobana S,8092,IND,0,Graduate Professional,37,"10,01,000",10 Lacs,"8,44,000",8 Lacs
692,Silambarasan P,8935,IND,0,10th Pass,32,"2,65,000",2 Lacs,0,
693,Silambarasan.C,7585,Tamil Nadu Ilangyar Katchi,0,Graduate Professional,32,"1,67,792",1 Lacs,0,
694,Singadurai.R,8105,IND,9,12th Pass,28,"2,50,000",2 Lacs,"1,75,000",1 Lacs
695,Singarajan S P,6445,IND,0,12th Pass,55,"55,29,700",55 Lacs,"40,455",40 Thou
696,Siva Jayaprakash.S,7961,IND,0,Graduate,69,"54,58,035",54 Lacs,0,
697,Siva Kumar P,7609,IND,0,8th Pass,49,"39,61,000",39 Lacs,"81,000",81 Thou
698,"Siva, V.",7987,BSP,0,Graduate,33,"22,300",22 Thou,0,
699,Sivagururaj T,8561,IND,0,10th Pass,26,0,0,0,
700,Sivakumar P,10910,IND,0,Graduate,44,"1,28,000",1 Lacs,"49,000",49 Thou
701,Sivakumar V,8890,IND,0,Graduate Professional,38,"31,93,500",31 Lacs,"2,44,000",2 Lacs
702,Sivamuniyandi A,8936,IND,0,10th Pass,37,"2,39,000",2 Lacs,0,
703,Sivanandham.C,5244,BSP,0,10th Pass,39,"1,44,000",1 Lacs,0,
704,"Sivaneswaran, J.",7986,IND,0,Post Graduate,30,"15,15,000",15 Lacs,"13,87,073",13 Lacs
705,Sivapathy N R,5861,AIADMK,0,Graduate Professional,55,"10,07,98,649",10 Crore,"2,95,80,175",2 Crore
706,Sivaprakash K,5258,BSP,0,Graduate Professional,40,"1,01,000",1 Lacs,0,
707,Sivarajee S,7531,IND,0,Illiterate,54,"3,24,375",3 Lacs,0,
708,Sivaraman.S,7557,IND,0,Others,40,"50,000",50 Thou,0,
709,Sivaranjani.D,5224,Naam Tamilar Katchi,0,Post Graduate,26,0,0,0,
710,Sivasankar S,5350,Jammu & Kashmir National Panthers Party,0,12th Pass,37,"2,65,000",2 Lacs,"3,50,000",3 Lacs
711,Soundararajan M,8143,IND,0,8th Pass,62,"1,72,000",1 Lacs,0,
712,Sridhar M,6442,Makkal Needhi Maiam,1,Graduate,46,"2,94,85,700",2 Crore,"5,00,000",5 Lacs
713,Srikarunya Subrahmanyam,6499,Makkal Needhi Maiam,0,Graduate,50,"13,00,000",13 Lacs,0,
714,Srinivasan. V,8184,IND,0,12th Pass,50,"19,34,800",19 Lacs,0,
715,Stalin.R,8120,BSP,0,Graduate Professional,26,"1,26,000",1 Lacs,0,
716,Subbarayan.K,5284,CPI,0,10th Pass,71,"80,35,576",80 Lacs,"5,00,000",5 Lacs
717,Subbiah. S,7964,IND,0,5th Pass,55,"2,65,000",2 Lacs,0,
