serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
492,Nagendra Kumar,6162,SHS,0,Graduate,50,"43,92,354",43 Lacs,"7,85,000",7 Lacs
493,Naim,8375,IND,0,Illiterate,51,"3,21,961",3 Lacs,0,
494,Naimish Pratap Narayan Singh,11915,IND,0,Graduate,41,"53,78,564",53 Lacs,"29,708",29 Thou
495,Nakul Dubey,11073,BSP,1,Graduate Professional,53,"3,42,86,356",3 Crore,0,
496,Nandlal,12569,Bharat Prabhat Party,0,8th Pass,38,"25,53,000",25 Lacs,0,
497,Narendra Modi,12914,BJP,0,Post Graduate,68,"2,51,36,119",2 Crore,0,
498,Narendra Singh,11444,IND,0,Graduate,49,"51,74,312",51 Lacs,0,
499,Narendra Singh,5486,RLD,2,Graduate,66,0,0,"57,08,000",57 Lacs
500,Naresh Chandra,7899,Bhartiya Shakti Chetna Party,1,Post Graduate,44,"37,43,729",37 Lacs,"27,01,468",27 Lacs
501,Naresh Kumar,7140,IND,0,Not Given,38,"30,000",30 Thou,0,
502,Naresh Kumar,6127,IND,0,Post Graduate,33,"42,00,000",42 Lacs,0,
503,Naresh Kumar Saini,8360,IND,0,Literate,39,"8,80,000",8 Lacs,0,
504,Narveer,9709,Pragatishil Samajwadi Party (Lohia),0,Graduate,39,"1,04,61,208",1 Crore,"3,00,000",3 Lacs
505,Nasimuddin Siddqui,6105,INC,1,Graduate Professional,56,"13,07,39,688",13 Crore,0,
506,Nasir Ali,13452,Bharat Prabhat Party,1,12th Pass,50,"1,05,70,383",1 Crore,"80,000",80 Thou
507,Nasir Ali Khan,6138,Pragatishil Samajwadi Party (Lohia),0,Others,46,"1,12,76,488",1 Crore,"3,63,223",3 Lacs
508,Nathu Ram,11773,Janvadi Party(Socialist),0,12th Pass,61,"9,18,000",9 Lacs,0,
509,Navin,13496,Voters Party International,0,Graduate,30,0,0,0,
510,Nawab Gul Chaman Sherwani,7141,VANCHITSAMAJ INSAAF PARTY,1,8th Pass,36,"37,255",37 Thou,0,
511,Neel Kumar,6100,IND,0,Post Graduate,29,"65,87,000",65 Lacs,0,
512,Neelam Sonker,12390,BJP,1,Post Graduate,43,"4,66,88,371",4 Crore,"45,50,000",45 Lacs
513,Neeraj Kumar Pasi Advocate,9626,Justice Party,0,Graduate Professional,36,"40,50,471",40 Lacs,0,
514,Nirmal Khatri,11048,INC,3,Doctorate,68,"1,44,59,169",1 Crore,"4,09,256",4 Lacs
515,Nisha,9628,BSP,0,Post Graduate,46,"13,44,48,979",13 Crore,"1,36,19,617",1 Crore
516,Nitin Mohan,7407,IND,0,Post Graduate,40,"3,59,091",3 Lacs,0,
517,Om Guru Charandas,13477,Sanatan Sanskriti Raksha Dal,0,10th Pass,49,"2,46,707",2 Lacs,0,
518,Om Prakash Mishra,11451,IND,0,Graduate,35,"6,80,000",6 Lacs,0,
519,Om Prakash Pandey,12987,IND,0,Graduate Professional,28,0,0,0,
520,Ombeer Lodhi,8356,Jan Seva Sahayak Party,0,10th Pass,Unknown,"70,90,100",70 Lacs,0,
521,Omkar,11405,Bahujan Mukti Party,0,10th Pass,33,"12,80,000",12 Lacs,0,
522,Omprakash,7128,Swatantra Jantaraj Party,0,Graduate Professional,31,"40,000",40 Thou,0,
523,Omvati Devi,5491,INC,0,10th Pass,69,"3,71,58,570",3 Crore,0,
524,Onkar Singh,14113,Samajwadi Samaj Party,0,Post Graduate,43,"5,97,93,984",5 Crore,"15,00,000",15 Lacs
525,P.C. Kureel,13888,Indian National League,1,12th Pass,62,"2,95,82,528",2 Crore,"5,45,000",5 Lacs
526,Pakauri Lal,12922,Apna Dal (Soneylal),0,Literate,66,"2,30,48,078",2 Crore,"6,84,133",6 Lacs
527,Pandhari Yadav,13465,SP,0,Graduate,58,"99,86,599",99 Lacs,0,
528,Pankaj Choudhary,14024,BJP,5,12th Pass,54,"37,18,27,109",37 Crore,"44,83,048",44 Lacs
529,Pankaj Dubey,12537,Lok Gathbandhan Party,0,Post Graduate,36,0,0,"5,00,000",5 Lacs
530,Pankaj Mohan Sonkar,12389,INC,3,Graduate,29,"46,15,570",46 Lacs,"17,43,219",17 Lacs
531,Pankaj Patel,12404,INC,1,Graduate,38,"3,82,23,599",3 Crore,0,
532,Pankaj Ramkumar Singh,11384,Akhand Rashtrawadi Party,0,10th Pass,32,"25,23,000",25 Lacs,0,
533,Pannelal,14031,IND,0,8th Pass,33,"11,78,000",11 Lacs,0,
534,Pappu Chauhan,14025,Satya Kranti Party,0,12th Pass,63,"7,74,009",7 Lacs,0,
535,Parameshvar Lal,7450,BJP,0,10th Pass,64,"11,00,88,877",11 Crore,"49,43,218",49 Lacs
536,Paras,14108,Rashtriya Jantantrik Bharat Vikas Party,1,Post Graduate,66,"21,05,000",21 Lacs,0,
537,Paro Kinnar,9724,IND,0,Illiterate,33,"20,00,040",20 Lacs,0,
538,Parshuram Patel,12545,Hindusthan Nirman Dal,4,Post Graduate,60,"87,16,423",87 Lacs,"29,33,974",29 Lacs
539,Parvati Nandan,7415,Rashtriya Bharatiya Jan Jan Party,0,Post Graduate,53,0,0,0,
540,Parveen Yogi,6148,Bhartiya Nojawan Dal,0,12th Pass,49,"2,02,000",2 Lacs,0,
541,Parvej Aqil,6109,All India Minorities Front,0,Graduate,47,"1,04,992",1 Lacs,0,
542,Pastar Thomsan Massy,7142,IND,0,8th Pass,43,"1,96,400",1 Lacs,0,
543,Pawan Kumar,6082,Aapki Apni Party (Peoples),0,10th Pass,50,"53,400",53 Thou,0,
544,Pawan Singh Samrat,13623,Aam Janta Party (India),0,Graduate,34,"77,82,000",77 Lacs,0,
545,Peer Ali Khan,11445,Kisan Mazdoor Sangharsh Party,0,8th Pass,43,"86,000",86 Thou,"1,71,000",1 Lacs
546,Phakkad Baba,5120,IND,0,Literate,73,"12,722",12 Thou,0,
547,Pintoo,12563,Kanshiram Bahujan Dal,0,10th Pass,44,"34,12,803",34 Lacs,0,
548,Pooja,10521,IND,0,Graduate,29,"1,12,07,526",1 Crore,"21,90,246",21 Lacs
549,Poonam Shatrughan Sinha,11891,SP,1,Graduate,68,0,0,"28,48,63,762",28 Crore
550,Poonam Shukla,11284,Bhartiya Shakti Chetna Party,0,Graduate,32,"17,71,655",17 Lacs,0,
551,Prabhawati Devi,11903,IND,0,Literate,45,"82,08,579",82 Lacs,"7,50,000",7 Lacs
552,Prabhu Dayal,13682,IND,0,12th Pass,65,"18,60,000",18 Lacs,0,
