serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
380,Shivlal Gurjar,13933,SHS,2,5th Pass,38,"5,70,800",5 Lacs,0,
381,Shobha Valmiki,12062,IND,0,Graduate,72,"21,46,000",21 Lacs,"28,000",28 Thou
382,Shree Lal Markam(Bade Shri),10633,IND,0,8th Pass,30,"10,02,000",10 Lacs,"1,60,000",1 Lacs
383,Shri Surendra,14135,IND,0,10th Pass,39,"1,62,271",1 Lacs,0,
384,Shrimati Hemlata Pathak,12621,Sarvadharam Party (Madhya Pradesh),0,12th Pass,38,"27,75,500",27 Lacs,"5,05,000",5 Lacs
385,Shrimati Manisha Vaid,10650,IND,0,Graduate,45,"1,28,80,000",1 Crore,"54,70,000",54 Lacs
386,Shriram Nagar,12063,Sapaks Party,0,Post Graduate,59,"6,70,000",6 Lacs,"5,90,000",5 Lacs
387,Shyam Lal,10271,Bhartiya Shakti Chetna Party,0,12th Pass,47,"1,02,68,000",1 Crore,"3,00,000",3 Lacs
388,Siddharth Tiwari,11597,INC,0,Graduate Professional,36,"3,01,82,893",3 Crore,"13,25,755",13 Lacs
389,Siyasharan Kevat,11603,Rashtriya Apna Dal,0,Literate,63,0,0,0,
390,Sonu Agrwal,12640,IND,0,10th Pass,38,"2,61,851",2 Lacs,0,
391,Sovran Singh,12242,IND,0,12th Pass,60,"63,68,000",63 Lacs,"1,260",1 Thou
392,Sri Imran Baksh,14132,IND,0,12th Pass,34,"35,38,984",35 Lacs,0,
393,Subhash Shukla,10655,IND,0,10th Pass,51,"4,59,000",4 Lacs,0,
394,Subhranshu Dwivedi,12040,Kisan Party of India,0,Post Graduate,41,"6,31,000",6 Lacs,"1,80,000",1 Lacs
395,Sudheer Gupta,13095,BJP,1,Post Graduate,59,"9,09,08,944",9 Crore,"7,99,283",7 Lacs
396,Sudhir Kumar,12667,IND,0,Graduate,52,"69,25,972",69 Lacs,"2,24,529",2 Lacs
397,Sugreev Singh,12682,Jan Adhikar Party,0,Graduate,53,"60,38,000",60 Lacs,0,
398,Sukhdev Dahiya,10320,Bhartiya Jan Sampark Party,0,10th Pass,56,"75,151",75 Thou,0,
399,Sumit Mishra,12648,IND,0,10th Pass,43,0,0,0,
400,Sunil Gopal,12244,SUCI(C),1,Graduate Professional,46,"71,800",71 Thou,0,
401,Sunil Kumar Dodeja,12615,IND,0,Post Graduate,38,"1,94,341",1 Lacs,0,
402,Sunil Kumar Kawde,11988,IND,0,Graduate Professional,37,"6,07,000",6 Lacs,0,
403,Sunit Kumar Pandey,11599,AARAKSHAN VIRODHI PARTY,1,Post Graduate,28,"2,10,000",2 Lacs,0,
404,Suraj Bhabhar,14067,All India Hindustan Congress Party,0,Graduate,26,"1,72,000",1 Lacs,0,
405,Surajsingh Kaliya,14068,JD(U),0,5th Pass,86,"45,02,000",45 Lacs,"1,27,177",1 Lacs
406,Surendra Prasad Pandey,12052,IND,0,Others,68,"31,12,401",31 Lacs,"63,000",63 Thou
407,Suresh Kumar Kori,12064,IND,0,5th Pass,52,"3,80,000",3 Lacs,0,
408,Surjeet Chadar,11621,Bhartiya Shakti Chetna Party,0,5th Pass,33,"45,000",45 Thou,0,
409,Susheel Kumar Prasad,12624,Bhartiya Amrit Party,1,Doctorate,60,0,0,"2,25,00,000",2 Crore
410,Sushil Kumar Mishra,12041,IND,0,Post Graduate,51,"62,60,000",62 Lacs,0,
411,Tejpal Singh Rawat,12637,IND,0,Literate,30,"36,07,000",36 Lacs,0,
412,Thakur Das,11584,Pragatishil Samajwadi Party (Lohia),0,Post Graduate,61,"2,82,71,585",2 Crore,"8,55,100",8 Lacs
413,Tilakraj Ahirwar,13940,IND,0,Graduate,43,"14,33,000",14 Lacs,0,
414,Tofeek Khan,12249,IND,0,Graduate,48,"18,29,400",18 Lacs,0,
415,Umesh Garg,12599,IND,0,12th Pass,46,"23,88,000",23 Lacs,"77,000",77 Thou
416,Veer Singh Patel,11591,SP,8,12th Pass,39,"3,96,87,180",3 Crore,"42,12,532",42 Lacs
417,Vijay Rann,13937,IND,0,Graduate,54,"16,45,00,000",16 Crore,0,
418,Vijay Singh Patwa,12522,AIFB,0,10th Pass,39,"24,04,200",24 Lacs,"60,000",60 Thou
419,Vikas Kewalrao Nagvanshi,12000,Bharat Prabhat Party,0,Graduate Professional,41,0,0,"33,70,273",33 Lacs
420,Vikash Kumar,11598,BSP,0,Graduate,36,"1,51,56,991",1 Crore,"31,00,000",31 Lacs
421,Vimal Singh Korche,10290,Gondvana Gantantra Party,0,10th Pass,27,"9,32,000",9 Lacs,0,
422,"Vinay Kumar Jain ""Vinnu Bhaiya""",10634,IND,0,12th Pass,52,"2,00,00,000",2 Crore,0,
423,Vinay Kumar Sen,12517,Bhartiya Shakti Chetna Party,0,12th Pass,39,"17,75,711",17 Lacs,"1,60,000",1 Lacs
424,Vinod Kumar,12029,Rashtriya Jansanchar Dal,0,12th Pass,31,"18,20,000",18 Lacs,0,
425,Vipin Singh Tiwari,12053,Smart Indians Party,0,12th Pass,35,"3,78,000",3 Lacs,0,
426,Virendra Kumar,11225,BJP,0,Doctorate,65,"2,15,03,766",2 Crore,"19,74,216",19 Lacs
427,Vishnu Datt Sharma,11592,BJP,0,Post Graduate,49,"1,05,89,334",1 Crore,"25,07,176",25 Lacs
428,Vishnukant Sharma,12685,Rashtriya Rashtrawadi Party,0,12th Pass,38,"2,23,36,170",2 Crore,"46,13,471",46 Lacs
429,Vivek,12653,Hindusthan Nirman Dal,0,Graduate,27,0,0,0,
430,Vivek,12662,IND,0,Graduate,37,"2,08,519",2 Lacs,"20,000",20 Thou
431,Vivek Krishna Tankha,10315,INC,0,Graduate Professional,63,"66,91,18,888",66 Crore,"1,10,15,354",1 Crore
432,Vivek Narayan Shejwalkar,12240,BJP,0,Graduate Professional,71,"5,89,11,673",5 Crore,0,
433,Yuvraj Singh Bais,10328,"Proutist Bloc, India",0,10th Pass,65,"7,85,600",7 Lacs,"5,000",5 Thou
