serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
354,Raghuvansh Prasad Singh,12115,RJD,2,Doctorate,72,"78,57,367",78 Lacs,"9,84,703",9 Lacs
355,Raj Bhushan Chaudhry,11331,Vikassheel Insaan Party,0,Post Graduate,41,"7,16,00,000",7 Crore,"1,41,00,000",1 Crore
356,Raj Giri Bhagat,13065,Shoshit Samaj Dal,0,12th Pass,70,"44,37,819",44 Lacs,0,
357,Raj Kishor Prasad,12071,Vanchit Samaj Party,0,12th Pass,58,"70,000",70 Thou,0,
358,Raj Kishore Prasad,11343,"Proutist Bloc, India",0,Graduate,52,"22,44,813",22 Lacs,"2,35,000",2 Lacs
359,Raj Kumar Chauhan,10195,Bihar Lok Nirman Dal,0,10th Pass,57,0,0,"44,52,814",44 Lacs
360,Raj Kumar Paswan,11628,IND,0,12th Pass,32,"27,000",27 Thou,0,
361,Raj Kumar Prasad,12871,IND,0,12th Pass,44,"40,69,008",40 Lacs,0,
362,Raj Kumar Ram,10178,Bharatiya Momin Front,1,10th Pass,51,"2,36,000",2 Lacs,0,
363,Raj Kumar Ray,11341,IND,0,10th Pass,43,"10,50,000",10 Lacs,0,
364,Raj Kumar Singh,8158,BSP,0,Graduate Professional,63,"7,99,00,219",7 Crore,"1,00,000",1 Lacs
365,Raj Narayan Tiwari,12775,BSP,0,12th Pass,45,"74,20,911",74 Lacs,"70,000",70 Thou
366,Raja Ram Singh,12770,CPI(ML)(L),3,Graduate,63,"1,33,81,190",1 Crore,"14,80,000",14 Lacs
367,Rajanikant Choudhary,13874,IND,0,10th Pass,70,"13,08,000",13 Lacs,0,
368,Rajeev Ranjan Kumar,14147,Jan Adhikar Party,0,Graduate,25,"81,17,833",81 Lacs,0,
369,Rajendra Kumar,12086,IND,0,Graduate,46,0,0,0,
370,Rajendra Paswan,13640,Lok Jan Vikas Morcha,0,Literate,67,"1,02,000",1 Lacs,0,
371,Rajendra Paswan,5947,Bahujan Mukti Party,1,8th Pass,59,"20,16,118",20 Lacs,"5,59,195",5 Lacs
372,Rajesh Kumar,5961,IND,0,12th Pass,50,"1,77,935",1 Lacs,0,
373,Rajesh Kumar,14170,Janata Party,0,Graduate Professional,38,"3,42,13,000",3 Crore,"73,80,000",73 Lacs
374,Rajesh Kumar,4693,IND,0,Graduate,33,"62,88,351",62 Lacs,"6,00,000",6 Lacs
375,Rajesh Kumar Dubey,5944,IND,0,Graduate,42,"5,07,291",5 Lacs,0,
376,Rajesh Kumar Paswan,5614,Aam Janta Party Rashtriya,0,10th Pass,38,"9,86,000",9 Lacs,"5,00,000",5 Lacs
377,Rajesh Kumar Ratnakar,10158,IND,0,Graduate Professional,42,"15,95,000",15 Lacs,0,
378,Rajesh Kumar S/O Jawahar Lal Das,8171,IND,0,Graduate,28,"4,73,206",4 Lacs,0,
379,Rajesh Kumar S/O Yugeshwar Sah,10738,IND,0,Graduate Professional,26,0,0,0,
380,Rajesh Kushwaha,12834,Rashtriya Sarvjan Vikas Party,0,5th Pass,27,"23,89,500",23 Lacs,"90,000",90 Thou
381,Rajesh Ranjan,7620,Jan Adhikar Party (Loktantrik),31,Graduate,51,"11,95,43,561",11 Crore,"1,76,95,194",1 Crore
382,Rajgir Paswan,11633,Bajjikanchal Vikas Party,0,Literate,41,"10,82,600",10 Lacs,0,
383,Rajiv Kumar Singh,5969,IND,0,8th Pass,30,"96,25,000",96 Lacs,0,
384,Rajiv Kumar Yadav,8169,Baliraja Party,0,Graduate,30,"5,50,000",5 Lacs,0,
385,Rajiv Pratap Rudy,11338,BJP,0,Post Graduate,58,"8,07,40,349",8 Crore,0,
386,Rajiv Ranjan,12817,Janta Dal Rashtravadi,0,Post Graduate,44,"4,64,95,000",4 Crore,"1,19,00,000",1 Crore
387,Rajiv Ranjan Singh,10154,JD(U),1,Graduate,65,"8,83,24,866",8 Crore,"75,34,918",75 Lacs
388,Rajkishor Prasad,5994,JMM,2,12th Pass,42,"17,34,43,409",17 Crore,"73,59,160",73 Lacs
389,Rajnish Kumar Paswan,14162,IND,0,10th Pass,40,0,0,0,
390,Rajo Sah,8166,IND,0,Literate,39,"41,35,000",41 Lacs,"5,65,000",5 Lacs
391,Raju Kumar Raj,11643,IND,0,5th Pass,54,"23,56,028",23 Lacs,0,
392,Raju Yadav,13066,CPI(ML)(L),1,Post Graduate,36,"6,82,315",6 Lacs,0,
