serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
102,Pradesh Kumar,12312,Sarvodaya Prabhat Party,0,Graduate Professional,35,"11,02,410",11 Lacs,"2,01,238",2 Lacs
103,Pravesh Sharma,12333,IND,0,Post Graduate,36,"54,21,404",54 Lacs,"9,26,560",9 Lacs
104,Priyanka Bharihoke,12295,IND,0,Post Graduate,33,"38,32,340",38 Lacs,0,
105,Probir Dutta,12335,Satya Bahumat Party,0,Post Graduate,44,"60,93,819",60 Lacs,0,
106,Raghav Chadha,12720,AAP,0,Graduate Professional,30,"16,47,954",16 Lacs,0,
107,Rahimuddin Shah,12280,IND,0,10th Pass,39,"9,38,785",9 Lacs,0,
108,Raj Karan,13311,Corruption Abolition Party,0,10th Pass,61,"2,01,05,350",2 Crore,"1,00,000",1 Lacs
109,Raj Kumar Dhingiya,12282,IND,0,Post Graduate,40,0,0,0,
110,Raj Shekhar Gunti,13312,PRISM Party,0,Graduate,44,"4,92,771",4 Lacs,"26,01,000",26 Lacs
111,Rajendra Prasad Gupta,13412,Parivartan Samaj Party,0,Post Graduate,49,"2,78,181",2 Lacs,0,
112,Rajesh Lilothia,12711,INC,0,Post Graduate,53,"4,44,56,251",4 Crore,"79,000",79 Thou
113,Rajesh Satiya,13313,Sanatan Sanskriti Raksha Dal,0,Post Graduate,36,"62,108",62 Thou,"43,326",43 Thou
114,Rajiv Kumar,13403,IND,0,Graduate Professional,51,"1,40,037",1 Lacs,0,
115,Rajveer Singh,12308,BSP,0,12th Pass,43,"9,23,54,028",9 Crore,"4,07,46,162",4 Crore
116,Ram Khelawan,12325,"Proutist Bloc, India",0,10th Pass,50,"26,02,100",26 Lacs,"1,08,000",1 Lacs
117,Ram Kumar,12710,Bhartiya Pragatisheel Congress,0,Graduate,62,"28,000",28 Thou,0,
118,Ramesh,13322,IND,1,Graduate Professional,58,"4,48,36,000",4 Crore,"65,000",65 Thou
119,Ramesh Bidhuri,13405,BJP,2,Graduate Professional,57,0,0,"20,38,454",20 Lacs
120,Ramesh Chand Verma,13402,IND,0,5th Pass,58,"96,84,561",96 Lacs,0,
121,Ravi Kumar,13368,IND,0,Graduate,33,"24,71,300",24 Lacs,"2,41,028",2 Lacs
122,Ravi Kumar,13378,IND,0,Graduate,53,"3,97,05,621",3 Crore,"3,34,500",3 Lacs
123,Ravinder Paul Sehgal,12297,Pyramid Party of India,0,Post Graduate,70,"4,57,25,073",4 Crore,"73,782",73 Thou
124,Ravindra,12274,Kanshiram Bahujan Dal,0,8th Pass,43,"64,43,204",64 Lacs,0,
125,Roshan Kumar Choudhary,13419,IND,0,12th Pass,Unknown,"29,000",29 Thou,0,
126,S N Singh,13392,IND,1,Doctorate,72,"2,81,83,644",2 Crore,0,
127,Sameer Mirza,13361,Bharat Prabhat Party,0,12th Pass,29,"6,60,200",6 Lacs,0,
128,Sandeep,12321,Rashtriya Jan Adhikar Party,0,8th Pass,36,"12,06,152",12 Lacs,0,
129,Sanjay Kumar,13369,BSP,0,12th Pass,48,0,0,"8,45,000",8 Lacs
130,Satdev Jain,13360,"Proutist Bloc, India",0,10th Pass,53,"55,23,884",55 Lacs,"5,79,000",5 Lacs
131,Satish Kumar Prajapati,12288,Mazdoor Kirayedar Vikas Party,0,8th Pass,48,"41,14,657",41 Lacs,0,
132,Saurabh Ranjan,13364,Pyramid Party of India,0,Graduate Professional,33,"3,12,000",3 Lacs,0,
133,Shahid Ali,13352,BSP,0,Graduate Professional,46,"3,08,25,000",3 Crore,"41,73,296",41 Lacs
