Unnamed: 0,Sno,candidate_name,age,constituency,party,education_details,education,criminal_cases,total_assets,assets_description,liabilities_description,total_liabilities,url,constituency_id,candidate_id,Election_Type,party_id,en,hi
1043,22,Ajablal Mehta,36,SAHARSA,BSP,"12th Pass From C.M. Science College, Madhepura",12th Pass,0,1293000,12 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=698,75,698,General,5,done,done
1044,437,Kishor Kumar,54,SAHARSA,Jan Suraaj Party,"LLB From R.M.M. Law College, Saharsa, B.N.M.U. Madhepura, Year-2017",Graduate Professional,2,42014766,4 Crore,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=433,75,433,General,4,done,done
1045,536,Md Amirul Hasan,39,SAHARSA,Rashtriya Jansambhavna Party,"Inter From URDU Board, Year-2004",12th Pass,0,286000,2 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1426,75,1426,General,8,done,done
1046,50,Alok Ranjan,51,SAHARSA,BJP,"Ph.D. From B.N.M.U., Madhepur, Year-2007 &amp; Post Graduate From B.N.M.U., Madhepur, Year-1996",Doctorate,0,75550110,7 Crore,3 Crore,34434732.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=434,75,434,General,0,done,done
1047,583,Mohammad Nazir,47,SAHARSA,IND,"10th Pass From National Open School of Education, Year-2012",10th Pass,1,5612174,56 Lacs,41 Lacs,4144757.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1424,75,1424,General,1,done,done
1048,373,Indrajeet Prasad Gupta,55,SAHARSA,Indian Inclusive Party,"M.Tech. in Civil Engineering From M.D.U. Rohtak, Haryana, Year-2018",Post Graduate,4,352835680,35 Crore,59 Lacs,5973003.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1428,75,1428,General,45,done,done
1049,862,Ramesh Sah,29,SAHARSA,IND,"10th Pass From District School, Saharsa, Year-2010",10th Pass,0,2701742,27 Lacs,10 Lacs,1006000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=228,75,228,General,1,done,done
1050,260,Devchandra Yadav,46,SAHARSA,IND,Literate,Literate,15,8345000,83 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=699,75,699,General,1,done,done
1051,214,Bittu Kumar,27,SAHARSA,Rashtriya Samaj Paksha,"12th Pass From S.N.S.R.K.S College Saharsa, Bihar School Examination Council, Year-2018",12th Pass,0,4781600,47 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1427,75,1427,General,111,done,done
1052,56,Amar Shankar,41,SAHARSA,Swadhinta Party,"Graduate From Lalit Naryan Mithila Univesity Darbhanga, Year-2004",Graduate,0,18457687,1 Crore,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1423,75,1423,General,112,done,done
1053,1191,Thakur Hari Kishore Singh,64,SAHEBGANJ,Jan Suraaj Party,M.A. in Economics,Post Graduate,0,9686000,96 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=436,6,436,General,4,done,done
1054,388,Jai Prakash Kumar,42,SAHEBGANJ,IND,"Intermediate from MPS College, Muzaffarpur in 1999, Matric from Central School Muzaffarpur in 1997",12th Pass,0,2490000,24 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=229,6,229,General,1,done,done
1055,1132,Sukhari Das,48,SAHEBGANJ,SUCI(C),"Matric from Birahariya High School, Motipur in 1995",10th Pass,0,1209482,12 Lacs,35 Thou,35000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=94,6,94,General,25,done,done
1056,595,Motiur Rahman,39,SAHEBGANJ,IND,Matric from BSEB Patna in 2001,10th Pass,1,570000,5 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=694,6,694,General,1,done,done
1057,721,Prithwinath Ray,57,SAHEBGANJ,RJD,"Intermediate from Raghav Prasad Singh College, Jaintpur, Bihar University in 1988",12th Pass,4,16372214,1 Crore,35 Lacs,3514500.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=697,6,697,General,11,done,done
1058,765,Rajan Kumar,40,SAHEBGANJ,IND,B.A. from BRABU Muzaffarpur in 2006,Graduate,0,2225550,22 Lacs,11 Lacs,1120000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=693,6,693,General,1,done,done
1059,1256,Vikky Kumar,29,SAHEBGANJ,IND,LLB &amp; MA (Political Scince) from University of Delhi,Post Graduate,0,828200,8 Lacs,1 Lacs,160750.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=16,6,16,General,1,done,done
1060,802,Raju Kumar Singh,55,SAHEBGANJ,BJP,"P.hD from Maharashtra University, M.Tech &amp; B.Tech from L.V.O.V. Politec University, Ukrain",Doctorate,10,125228846,12 Crore,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=696,6,696,General,0,done,done
1061,1292,Yogendra Kumar Yadav,47,SAHEBGANJ,IND,Matric from BSEB Patna in 1994,10th Pass,5,840000,8 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=695,6,695,General,1,done,done
1062,609,Mukesh Kumar Singh,39,SAHEBGANJ,IND,M.B.A. from M.S. Ramaiah Bangalore,Post Graduate,0,6725000,67 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=437,6,437,General,1,done,done
1063,1038,Shambhu Sah,45,SAHEBGANJ,IND,"Madhyamik Pass in 1996 from Sukchar Kedar Nath Poddar High School, W. Bengal Secondary Board",10th Pass,0,836500,8 Lacs,4 Lacs,400000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1221,6,1221,General,1,done,done
1064,880,Ranjeet Kumar,55,SAHEBGANJ,IND,"Economics in 1993 from M.D. College, Noubatpur Patna, Magadh University",Graduate,0,233746000,23 Crore,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=438,6,438,General,1,done,done
1065,202,Binda Mahato,62,SAHEBGANJ,BSP,M.A. from B.R.A.B.U. Muzaffarpur in 2010,Post Graduate,3,2545310,25 Lacs,34 Lacs,3460000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=1223,6,1223,General,5,done,done
1066,544,Md Meraj,25,SAHEBPUR KAMAL,Samata Party,10th (Matriculation) from BSEB Patna in 2018,10th Pass,1,6586647,65 Lacs,22 Lacs,2206729.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=439,190,439,General,43,done,done
1067,1278,Vishwajeet Kumar Alias Vikas,30,SAHEBPUR KAMAL,IND,B.Com (Hons) from T.M. Bhagalpur University in 2019,Graduate,0,56409,56 Thou,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=232,190,232,General,1,done,done
1068,553,Md. Aftab Alam,31,SAHEBPUR KAMAL,IND,B.A. Urdu Graduate Bihat College L.N. University Darbhanga,Graduate,0,5102000,51 Lacs,80 Thou,80000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=440,190,440,General,1,done,done
1069,89,Anant Kumar Poddar,78,SAHEBPUR KAMAL,BSP,LLB from Bhagalpur University in 1999,Graduate Professional,1,6427252,64 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=442,190,442,General,5,done,done
1070,1159,Surendra Kumar,34,SAHEBPUR KAMAL,Parivartan Party of India,B.Sc. Math From R.C.S. College Tiyal Begusarai,Graduate,0,121000,1 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=231,190,231,General,113,done,done
1071,1286,Vivekanand Prasad,60,SAHEBPUR KAMAL,IND,Matric Pass,10th Pass,0,10020000,1 Crore,3 Lacs,300000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=441,190,441,General,1,done,done
