Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Candidate∇ Link
661,Vijay Kr. Aggarwal,ADARSH NAGAR,IND,0,Graduate Professional,"Rs 1,85,93,675~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=187
662,Vijay Kumar,SHAKUR BASTI,BSP,0,12th Pass,"Rs 20,000~ 20 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=596
663,Vijay Kumar,R K PURAM,Peoples Party of India (Democratic),0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=343
664,Vijay Kumar Jha,BURARI,Rachnatmak Jan Morcha,0,Others,"Rs 62,802~ 62 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=475
665,Vijay Kumar Sharma,MOTI NAGAR,Rashtriya Manav Party,0,Graduate,"Rs 5,49,320~ 5 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=722
666,Vijay Lal Tamta,MEHRAULI,Peoples Party of India (Democratic),0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=728
667,Vijender Gupta,ROHINI,BJP,4,Post Graduate,"Rs 16,10,28,211~ 16 Crore+","Rs 98,17,082~ 98 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=113
668,Vikas Bagga Ca,KRISHNA NAGAR,AAP,0,Post Graduate,"Rs 3,53,67,049~ 3 Crore+","Rs 1,02,21,219~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=138
669,Vikas Bhardwaj,NERELA,IND,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=103
670,Vikas Kaushik,LAXMI NAGAR,Aapsi Sahyog Party,0,Graduate,"Rs 4,40,000~ 4 Lacs+","Rs 92,000~ 92 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=534
671,Vikas Tyagi,ROHTAS NAGAR,IND,1,Graduate,"Rs 50,08,86,843~ 50 Crore+","Rs 1,48,17,571~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=355
672,Vimal Kumar Saxena,LAXMI NAGAR,IND,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=201
673,Vinay Chaudhari,SHAHDARA,IND,0,12th Pass,"Rs 7,27,17,949~ 7 Crore+","Rs 77,555~ 77 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=599
674,Vinay Mishra,DWARKA,AAP,6,Post Graduate,"Rs 8,70,17,731~ 8 Crore+","Rs 86,87,545~ 86 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=399
675,Vineet Yadav,RAJINDER NAGAR,INC,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=344
676,Vinod Kapoor,KRISHNA NAGAR,IND,0,10th Pass,"Rs 1,51,180~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=532
677,Vinod Kumar Chauhan,MATIALA,Suheldev Bharatiya Samaj Party,0,Post Graduate,"Rs 53,05,000~ 53 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=738
678,Virender,NEW DELHI,BSP,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=688
679,Virender Singh,TUGHLAKABAD,INC,0,Literate,"Rs 19,02,33,937~ 19 Crore+","Rs 4,50,000~ 4 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=561
680,Virender Singh Kadian,DELHI CANTT,AAP,2,Post Graduate,"Rs 6,00,44,332~ 6 Crore+","Rs 18,53,332~ 18 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=252
681,Vishal,MUSTAFABAD,Peoples Party of India (Democratic),0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=712
682,Vishal Gupta,RITHALA,IND,0,10th Pass,"Rs 16,94,000~ 16 Lacs+","Rs 2,81,230~ 2 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=111
683,Vishal Sahni,MOTI NAGAR,Voters Party International,0,Graduate,"Rs 3,53,08,682~ 3 Crore+","Rs 33,94,642~ 33 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=298
684,Vishal Sangwan,RAJOURI GARDEN,Right to Recall Party,0,Others,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=2
685,Vishal Sharma,KARAWAL NAGAR,IND,0,10th Pass,"Rs 1,60,858~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=196
686,Vishal Singh,ADARSH NAGAR,National Youth Party,0,12th Pass,"Rs 26,000~ 26 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=425
687,Vishesh Kumar,R K PURAM,INC,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=657
688,Vishesh Ravi,KAROL BAGH,AAP,1,12th Pass,"Rs 41,47,048~ 41 Lacs+","Rs 6,41,196~ 6 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=136
689,Vivek Giri,MODEL TOWN,Aapki Apni Party (Peoples),0,12th Pass,"Rs 26,000~ 26 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=726
690,Wasim Akram,TIMARPUR,Indian National Socialistic Action Forces,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=571
691,Yatender Sharma,NANGLOI JAT,Azad Adhikar Sena,0,Graduate Professional,"Rs 22,33,000~ 22 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=702
692,Yogender,KARAWAL NAGAR,Bharatiya Sampuran Krantikari Party,0,Graduate,"Rs 18,05,304~ 18 Lacs+","Rs 2,64,700~ 2 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=517
693,Yogender Singh Alias Yogi Mathur,MUNDKA,Akhil Bharatiya Socialist Party,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=225
694,Yogesh Kumar,MATIALA,IND,0,10th Pass,Nil,Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=732
695,Yogesh Kumar Sharma,MATIALA,Right to Recall Party,0,10th Pass,"Rs 90,000~ 90 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=35
696,Yogesh Swami,DWARKA,Right to Recall Party,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=14
697,Yogesh Swamy,KARAWAL NAGAR,IND,1,Graduate,"Rs 80,15,500~ 80 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=46
698,Yogeshwar Singh Bisht,MEHRAULI,BSP,0,10th Pass,"Rs 76,450~ 76 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=294
699,Zainuddin,MATIA MAHAL,IND,0,5th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=744
