Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Candidate∇ Link
215,Harsh Choudhary,SANGAM VIHAR,INC,0,Post Graduate,"Rs 5,10,16,582~ 5 Crore+","Rs 9,50,000~ 9 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=365
216,Harshad Chadha,ROHINI,BSP,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=351
217,Heera Lal,BAWANA,BSP,0,Literate,"Rs 1,18,44,480~ 1 Crore+","Rs 20,27,368~ 20 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=465
218,Hira Lal,WAZIRPUR,BSP,0,8th Pass,"Rs 59,00,000~ 59 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=548
219,Hira Lal Sah,VIKASPURI,IND,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=9
220,Imran Hussain,BALLIMARAN,AAP,0,Graduate Professional,"Rs 3,56,46,554~ 3 Crore+","Rs 41,96,768~ 41 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=128
221,Imran Saifi,BADARPUR,NCP,0,10th Pass,"Rs 2,07,97,000~ 2 Crore+","Rs 17,00,000~ 17 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=447
222,Iqbal Ahmed Siddiqui,KALKAJI,IND,0,5th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=501
223,Ishwar Chand,NEW DELHI,Bharatrashtra Democratic Party,0,Graduate Professional,"Rs 3,82,74,624~ 3 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=316
224,Ishwar Singh,GOKALPUR,INC,0,8th Pass,"Rs 5,08,97,683~ 5 Crore+","Rs 36,66,537~ 36 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=412
225,Islam Ali,CHHATARPUR,Aazad Samaj Party (Kanshi Ram),0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=84
226,Islauddin,SEELAM PUR,IND,0,8th Pass,"Rs 4,03,960~ 4 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=797
227,Ismail,LAXMI NAGAR,Voice of Awam Party,0,8th Pass,"Rs 29,25,000~ 29 Lacs+","Rs 12,00,000~ 12 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=536
228,Jagat Singh,SHAHDARA,INC,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=603
229,Jagdeesh Prasad,NEW DELHI,Samarth Bharatvarsh Party,0,Graduate,"Rs 41,00,000~ 41 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=683
230,Jagdish,GOKALPUR,NCP,1,Illiterate,"Rs 1,21,18,863~ 1 Crore+","Rs 13,10,000~ 13 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=87
231,Jagdish Chand,BADARPUR,CPI(M),0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=189
232,Jagdish Kumar Garg,LAXMI NAGAR,IND,0,8th Pass,"Rs 96,000~ 96 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=32
233,Jagdish Kumar Verma,SANGAM VIHAR,IND,0,Post Graduate,"Rs 79,95,036~ 79 Lacs+","Rs 3,04,000~ 3 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=74
234,Jagdish Ojha,PATPARGANJ,IND,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=662
235,Jai Bhagwan,MANGOL PURI,IND,2,Graduate,"Rs 47,93,500~ 47 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=748
236,Jai Bhagwan Upkar,BAWANA,AAP,4,12th Pass,"Rs 6,87,37,506~ 6 Crore+","Rs 5,69,881~ 5 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=129
237,Jai Kishan,SULTAN PUR MAJRA,INC,3,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=182
238,Jai Pal,BADLI,IND,0,8th Pass,"Rs 7,01,518~ 7 Lacs+","Rs 75,636~ 75 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=64
239,Jai Prakash,AMBEDKAR NAGAR,INC,9,12th Pass,"Rs 2,55,14,467~ 2 Crore+","Rs 62,71,000~ 62 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=127
240,Jai Prakash Panwar,MADIPUR,INC,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=96
241,Jalandhar Pandit,NAJAFGARH,"Proutist Bloc, India",0,Graduate,"Rs 31,46,000~ 31 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=307
242,Jamaluddin,OKHLA,Buland Bharat Party,0,10th Pass,"Rs 29,16,106~ 29 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=672
243,Jarnail Singh,TILAK NAGAR,AAP,4,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=167
244,Jasbir Karala,MUNDKA,AAP,0,12th Pass,"Rs 4,31,56,239~ 4 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=54
245,Jaya Raman,RAJOURI GARDEN,Sanjhi Virasat Party,0,12th Pass,"Rs 7,20,400~ 7 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=646
246,Jitander Singh,RITHALA,Asankhya Samaj Party,0,Illiterate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=639
247,Jitender,SULTAN PUR MAJRA,Jai Maha Bharath Party,3,5th Pass,"Rs 1,21,28,000~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=589
248,Jitender Kumar,MUSTAFABAD,IND,0,Illiterate,"Rs 75,19,420~ 75 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=714
249,Jitender Kumar Kochar,MALVIYA NAGAR,INC,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=284
250,Jitender Mahajan,ROHTAS NAGAR,BJP,3,Graduate,"Rs 2,57,58,304~ 2 Crore+","Rs 19,95,638~ 19 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=114
251,Jitender Singh Shunty,SHAHDARA,AAP,0,10th Pass,"Rs 7,60,92,538~ 7 Crore+","Rs 50,46,000~ 50 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=60
252,Jitender Solanki,VIKASPURI,INC,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=392
253,Joginder Solanki,PALAM,AAP,0,Graduate,"Rs 15,42,48,976~ 15 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=331
254,Journalist Ramesh Kumar Jain Alias Nirbhik,UTTAM NAGAR,IND,0,10th Pass,"Rs 1,61,82,714~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=390
255,Jugal Chawla,SHAKUR BASTI,IND,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=595
256,Jugbir Singh,KIRARI,BSP,0,Post Graduate,"Rs 13,10,28,276~ 13 Crore+","Rs 37,46,893~ 37 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=525
257,Kailash Gahlot,BIJWASAN,BJP,0,Post Graduate,"Rs 59,91,14,620~ 59 Crore+","Rs 1,20,47,385~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=130
258,Kailash Gangwal,MADIPUR,BJP,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=815
259,Kali Charan,CHANDNI CHOWK,BSP,0,8th Pass,"Rs 2,65,000~ 2 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=477
260,Kamal Arora (Dabbu),GANDHI NAGAR,INC,2,Graduate Professional,"Rs 1,83,03,180~ 1 Crore+","Rs 5,76,978~ 5 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=258
261,Kamal Bagri,BALLIMARAN,BJP,1,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=236
262,Kamal Kishore,SHAHDARA,National Youth Party,0,5th Pass,"Rs 4,21,430~ 4 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=116
263,Kamal Singh,BIJWASAN,BSP,0,10th Pass,"Rs 16,20,324~ 16 Lacs+","Rs 14,298~ 14 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=239
264,Kamla Devi,RAJOURI GARDEN,Aapki Apni Party (Peoples),0,Illiterate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=347
265,Kamlesh Kumar,MATIALA,BSP,0,8th Pass,"Rs 62,60,500~ 62 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=736
266,Kanchan Sharma,NANGLOI JAT,Rashtriya Manav Party,0,Graduate,"Rs 3,29,268~ 3 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=703
267,Kaneez Fatima,OKHLA,Aihra National Party,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=673
268,Kanwar Karan Singh,MODEL TOWN,INC,1,12th Pass,"Rs 9,96,49,359~ 9 Crore+","Rs 2,39,42,450~ 2 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=727
269,Kapil Mishra,KARAWAL NAGAR,BJP,3,Post Graduate,"Rs 1,06,54,682~ 1 Crore+","Rs 48,57,516~ 48 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=271
270,Karam Singh Karma,SULTAN PUR MAJRA,BJP,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=165
271,Karan Singh,SULTAN PUR MAJRA,Swaraj Bhartiya Nyay Party,0,10th Pass,"Rs 11,35,000~ 11 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=585
272,Karan Talwar,RAJOURI GARDEN,Aam Aadmi Parivartan Party,0,12th Pass,"Rs 20,66,417~ 20 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=647
273,Karnail Singh,SHAKUR BASTI,BJP,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=369
274,Kartar Singh Tanwar,CHHATARPUR,BJP,0,Others,"Rs 25,21,59,151~ 25 Crore+","Rs 7,02,58,388~ 7 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=174
275,Kashmir Chand,JANAKPURI,Buland Bharat Party,0,12th Pass,"Rs 2,26,79,400~ 2 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=778
276,Khalid Ur Rehman,CHANDNI CHOWK,NCP,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=247
277,Khilkhilakar,MANGOL PURI,Bahujan Shoshit Samaj Sangharsh Samta Party,0,Graduate,"Rs 10,000~ 10 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=176
278,Khursheed Abbas Zaidi,TUGHLAKABAD,Rashtriya Bahujan Congress Party,0,Graduate,"Rs 56,25,292~ 56 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=562
279,Khushi Ram Chunar,AMBEDKAR NAGAR,BJP,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=78
280,Krishna Thakur,VIKASPURI,BSP,0,10th Pass,"Rs 1,03,65,000~ 1 Crore+","Rs 24,29,414~ 24 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=41
281,Krishna Tirath,PATEL NAGAR,INC,0,Graduate Professional,"Rs 18,61,06,656~ 18 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=665
282,Ku. Rinku,SEEMA PURI,BJP,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=605
283,Kuldeep Kumar,KONDLI,AAP,7,12th Pass,"Rs 53,00,281~ 53 Lacs+","Rs 6,35,300~ 6 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=275
284,Kuldeep Singh Ahlawat,R K PURAM,IND,0,Graduate,"Rs 42,77,887~ 42 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=36
285,Kuldeep Solanki,PALAM,BJP,1,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=330
286,Kulwant Rana,RITHALA,BJP,3,Graduate,"Rs 70,11,25,079~ 70 Crore+","Rs 2,55,30,029~ 2 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=76
287,Kulwant Rana,SULTAN PUR MAJRA,BSP,0,Graduate Professional,"Rs 4,18,75,000~ 4 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=372
288,Kusum Banwal,LAXMI NAGAR,Peoples Party of India (Democratic),0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=94
289,Lal Singh,GOKALPUR,BSP,0,Post Graduate,"Rs 1,52,93,540~ 1 Crore+","Rs 9,93,597~ 9 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=488
290,Lala Ram,VIKASPURI,Bhartiya Panchsheel Party,0,Illiterate,"Rs 40,61,212~ 40 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=42
291,Lalita Trivedi,BIJWASAN,Bhartiya Krishak Dal,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=470
292,Laxmi,SULTAN PUR MAJRA,Republican Party of India (Athawale),0,8th Pass,"Rs 1,20,000~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=584
293,Laxmi Thakur Singhal,SADAR BAZAR,Abhinav Bharat Party,1,Graduate,"Rs 10,60,000~ 10 Lacs+","Rs 10,00,000~ 10 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=621
294,Lokendra Kalyan Singh,TIMARPUR,INC,1,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=575
295,Lokesh Kumar Masterji,R K PURAM,Rashtriya Rashtrawadi Party,0,Graduate,"Rs 33,03,467~ 33 Lacs+","Rs 1,41,283~ 1 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=341
296,Madhu Bala,SADAR BAZAR,Jai Maha Bharath Party,0,10th Pass,"Rs 28,70,000~ 28 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=624
297,Mahavir,MUNDKA,AIFB,0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=224
298,Mahavir Singh,MEHRAULI,Matrubhoomi Sewa Party,0,Graduate Professional,"Rs 3,90,89,500~ 3 Crore+","Rs 67,00,000~ 67 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=729
299,Mahender Chaudhary,MEHRAULI,AAP,0,Graduate Professional,"Rs 1,25,87,137~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=52
300,Mahender Kumar,SANGAM VIHAR,IND,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=611
301,Mahender Singh Rathor,NANGLOI JAT,Rashtriya Lok Sevak Party,0,10th Pass,"Rs 1,66,46,467~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=696
302,Mahesh Bansal,WAZIRPUR,Right to Recall Party,0,Graduate,"Rs 50,000~ 50 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=72
303,Mahesh Dubey,MOTI NAGAR,Bharatiya Liberal Party,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=723
304,Mahesh Kumar,KASTURBA NAGAR,BSP,0,12th Pass,"Rs 7,89,005~ 7 Lacs+","Rs 2,24,770~ 2 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=522
305,Mahinder Yadav,VIKASPURI,AAP,1,10th Pass,"Rs 3,84,85,038~ 3 Crore+","Rs 12,90,345~ 12 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=125
306,Malik Neyaz Ahmad,KIRARI,Aazad Samaj Party (Kanshi Ram),0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=91
307,Mange Ram,PALAM,INC,1,Illiterate,"Rs 7,40,91,817~ 7 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=667
308,Mange Ram Sangwan,NAJAFGARH,IND,0,12th Pass,"Rs 2,91,78,500~ 2 Crore+","Rs 1,90,000~ 1 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=707
309,Mangesh Tyagi,BURARI,INC,3,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=172
310,Mani Ram,UTTAM NAGAR,BSP,0,12th Pass,"Rs 18,15,437~ 18 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=40
311,Manish Chaudhary,OKHLA,BJP,0,Graduate,"Rs 8,37,53,407~ 8 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=105
312,Manish Sisodia,JANGPURA,AAP,6,Others,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=404
313,Manjeet Singh,GOKALPUR,Jan Samuh Party,0,12th Pass,"Rs 5,58,910~ 5 Lacs+","Rs 16,700~ 16 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=490
314,Manjinder Singh Sirsa,RAJOURI GARDEN,BJP,5,12th Pass,"Rs 2,48,85,52,444~ 248 Crore+","Rs 57,68,03,791~ 57 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=348
315,Manoj,SEEMA PURI,BSP,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=807
316,Manoj Kumar,NAJAFGARH,IND,0,12th Pass,"Rs 15,823~ 15 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=706
317,Manoj Kumar,BABARPUR,Akhil Bharatiya Socialist Party,0,Others,"Rs 90,000~ 90 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=438
318,Manoj Kumar Jindal,SADAR BAZAR,BJP,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=360
319,Manoj Kumar Shokeen,NANGLOI JAT,BJP,0,12th Pass,"Rs 13,12,83,303~ 13 Crore+","Rs 1,27,51,774~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=155
320,Manoj Kumar Tyagi,KARAWAL NAGAR,AAP,1,Graduate,"Rs 2,74,02,865~ 2 Crore+","Rs 4,07,000~ 4 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=273
321,Manu Gautam,PALAM,Peoples Party of India (Democratic),0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=668
322,Mayank Mehta,HARI NAGAR,IND,0,Graduate,"Rs 40,000~ 40 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=494
323,Md Haroon,BALLIMARAN,NCP,0,Illiterate,"Rs 1,08,91,064~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=235
324,Md Injamamul Hassan,OKHLA,CPI,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=323
325,Md Khalid,NERELA,Aazad Samaj Party (Kanshi Ram),0,Illiterate,"Rs 1,29,901~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=695
326,Md Naveen,JANAKPURI,NCP,0,10th Pass,"Rs 27,89,266~ 27 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=781
327,Md Nazir,BABARPUR,Aman Samaj Party,0,5th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=443
328,Md: Rahmat Ali,ADARSH NAGAR,Navarang Congress Party,0,8th Pass,"Rs 2,30,000~ 2 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=423
329,Meenakshi Kumari,SADAR BAZAR,Bharatiya Liberal Party,0,Graduate,"Rs 2,00,99,213~ 2 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=361
330,Meghnad S.,MALVIYA NAGAR,IND,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=752
331,Mehar Charan,DWARKA,Samaj Vikas Kranti Party,0,8th Pass,"Rs 22,000~ 22 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=482
332,Moazam Khan,MATIA MAHAL,IND,0,5th Pass,"Rs 9,65,000~ 9 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=288
333,Mohammad Abdullah Ansari,BABARPUR,IND,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=445
334,Mohammad Ahmed Saifi,MATIA MAHAL,IND,0,8th Pass,"Rs 17,092~ 17 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=287
335,Mohammad Mursaleen,CHANDNI CHOWK,Indian National Socialistic Action Forces,0,12th Pass,"Rs 4,14,000~ 4 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=476
336,Mohan Lal Bhardwaj,HARI NAGAR,Bharatheeya Jawan Kisan Party,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=777
337,Mohan Singh Bisht,MUSTAFABAD,BJP,0,12th Pass,"Rs 7,82,93,737~ 7 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=303
338,Mohd Ishraq Khan,BABARPUR,INC,1,5th Pass,"Rs 2,93,53,000~ 2 Crore+","Rs 4,32,000~ 4 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=217
339,Mohd Islam,OKHLA,Right to Recall Party,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=669
340,Mohd Javed,MATIA MAHAL,NCP,0,8th Pass,"Rs 61,63,599~ 61 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=289
341,Mohd Nazir,SEELAM PUR,Republican Party of India (Athawale),0,Graduate,"Rs 9,61,357~ 9 Lacs+","Rs 2,45,740~ 2 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=798
342,Mohd Ojer,JANAKPURI,Azad Adhikar Sena,2,Illiterate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=784
343,Mohd Shafi,SEELAM PUR,IND,0,8th Pass,"Rs 1,26,500~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=795
344,Mohd Usman Bakhsh,MUSTAFABAD,Rashtriya Janmorcha,0,Graduate,"Rs 2,80,32,862~ 2 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=101
345,Mohd Waqar Choudhary,LAXMI NAGAR,BSP,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=198
346,Mohd Zakiullah,SANGAM VIHAR,BSP,0,8th Pass,"Rs 72,75,000~ 72 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=362
347,Mohd Zubair Malik,SEELAM PUR,IND,0,Others,"Rs 6,00,000~ 6 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=792
348,Mohd. Shadab,BALLIMARAN,IND,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=813
349,Mohd. Tahir Hussain,MUSTAFABAD,All India Majlis-E-Ittehadul Muslimeen,11,10th Pass,"Rs 18,73,12,315~ 18 Crore+","Rs 50,77,545~ 50 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=302
350,Mohd. Usman,SHALIMAR BAGH,IND,0,12th Pass,"Rs 1,39,31,369~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=592
351,Mohinder Goyal,RITHALA,AAP,3,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=220
352,Mohinder Singh,MATIALA,Rashtriya Rashtrawadi Party,0,Others,Nil,Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=7
353,Monis Kureshi,BIJWASAN,IND,0,5th Pass,"Rs 17,060~ 17 Thou+","Rs 69,047~ 69 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=468
354,Mudit Agarwal,CHANDNI CHOWK,INC,2,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=248
355,Mukesh Jain,WAZIRPUR,IND,0,10th Pass,"Rs 12,500~ 12 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=43
356,Mukesh Jain,NEW DELHI,Rashtrawadi Janlok Party (Satya),4,Graduate Professional,"Rs 7,34,367~ 7 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=179
357,Mukesh Kumar,KONDLI,BSP,0,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=278
358,Mukesh Kumar,NANGLOI JAT,BSP,0,5th Pass,"Rs 4,23,000~ 4 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=704
359,Mukesh Kumar,MANGOL PURI,BSP,0,10th Pass,"Rs 5,08,830~ 5 Lacs+","Rs 35,000~ 35 Thou+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=749
360,Mukesh Kumar Ahlawat,SULTAN PUR MAJRA,AAP,4,12th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=374
361,Mukesh Kumar Goel,ADARSH NAGAR,AAP,0,Graduate,"Rs 10,27,64,691~ 10 Crore+","Rs 7,50,000~ 7 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=188
362,Mukesh Prasad,BURARI,Bhartiya Janta Dal (Integrated),0,Post Graduate,"Rs 11,58,000~ 11 Lacs+","Rs 8,35,000~ 8 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=243
363,Mukesh Sharma,UTTAM NAGAR,INC,1,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=558
364,Mulayam Singh,BADLI,NCP,1,Graduate Professional,"Rs 2,48,34,180~ 2 Crore+","Rs 1,23,76,092~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=234
365,Namaha,LAXMI NAGAR,NCP,0,Illiterate,"Rs 2,44,57,071~ 2 Crore+","Rs 14,69,770~ 14 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=281
366,Namit Kumar Gautam,DELHI CANTT,BSP,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=192
367,Nand Lal,TRILOKPURI,BSP,0,10th Pass,"Rs 17,47,000~ 17 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=383
368,Narayan Dutt Sharma,BADARPUR,BJP,1,12th Pass,"Rs 2,71,60,133~ 2 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=231
369,Narender,CHHATARPUR,NCP,0,10th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=250
