video_id,video_name,video_location,playlist_id
1097,1097,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1097.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1098,1098,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1098.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1099,1099,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1099.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
11,11,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/11.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
110,110,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/110.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1100,1100,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1100.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1101,1101,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1101.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1102,1102,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1102.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1103,1103,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1103.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1104,1104,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1104.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1105,1105,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1105.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1106,1106,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1106.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1107,1107,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1107.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1108,1108,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1108.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1109,1109,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1109.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
111,111,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/111.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1110,1110,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1110.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1111,1111,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1111.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1113,1113,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1113.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1114,1114,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1114.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1115,1115,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1115.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1116,1116,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1116.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1117,1117,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1117.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1118,1118,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1118.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1119,1119,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1119.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
112,112,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/112.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1124,1124,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1124.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1125,1125,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1125.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1126,1126,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1126.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1129,1129,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1129.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
113,113,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/113.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1130,1130,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1130.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1131,1131,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1131.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1132,1132,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1132.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1133,1133,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1133.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1134,1134,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1134.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1135,1135,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1135.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1136,1136,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1136.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1137,1137,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1137.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1138,1138,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1138.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
114,114,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/114.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1143,1143,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1143.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1144,1144,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1144.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
1145,1145,/Users/saml16/projects/Elections_info/static/central_elections/lok_sabha_2024/Combined_video/1145.mp4,PLxDNB6KvO9IYOZVXL-yguGPypGRcz1gy9
